dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,l1o_loss_contribution,l1o_acc_contribution,global_l1o_loss,global_l1o_acc,acc_contribution
adult,noniid,20,42,1,0,0.9906715119254784,0.0049380694032141,0.4552505232057121,0.2384503289838135,0.8830574511817173,0.0726550489837364,0.8651294715139373,0.044077391699379,,0.8957703997818458,0.0652096834229309,0.0652096834229309,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0418102145195007,-0.0117719316204319,0.3853021562099457,0.8315078308936431,-0.0117719316204319
adult,noniid,20,42,1,1,0.9906715119254784,0.0028027433718906,0.4552505232057121,0.230207809024604,0.8830574511817173,0.0483508052393026,0.8651294715139373,0.037740684224627,,0.8957703997818458,0.0497622452031922,0.0497622452031922,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0299480855464935,-0.0072678882178319,0.3853021562099457,0.8315078308936431,-0.0072678882178319
adult,noniid,20,42,1,2,0.9906715119254784,0.0032644078206571,0.4552505232057121,0.2256163768642487,0.8830574511817173,0.0526254658702201,0.8651294715139373,0.0330347470558771,,0.8957703997818458,0.0513452270090184,0.0513452270090184,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0330481529235839,-0.0078820759545501,0.3853021562099457,0.8315078308936431,-0.0078820759545501
adult,noniid,20,42,1,3,0.9906715119254784,0.0062882587777663,0.4552505232057121,0.3105505110358204,0.8830574511817173,0.1036822420010249,0.8651294715139373,0.0187101771715454,,0.8957703997818458,0.0790384461013958,0.0790384461013958,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0472699999809265,-0.0096222745419183,0.3853021562099457,0.8315078308936431,-0.0096222745419183
adult,noniid,20,42,1,4,0.9906715119254784,0.0045726276998668,0.4552505232057121,0.2355636680048382,0.8830574511817173,0.0709748907533152,0.8651294715139373,0.0201400132791296,,0.8957703997818458,0.0641386974701734,0.0641386974701734,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0415369570255279,-0.0118742962432183,0.3853021562099457,0.8315078308936431,-0.0118742962432183
adult,noniid,20,42,1,5,0.9906715119254784,0.003078104207186,0.4552505232057121,0.2317282806706725,0.8830574511817173,0.0515625915904162,0.8651294715139373,0.0036692331885053,,0.8957703997818458,0.0521215469138849,0.0521215469138849,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0324799716472625,-0.0083938990684819,0.3853021562099457,0.8315078308936431,-0.0083938990684819
adult,noniid,20,42,1,6,0.9906715119254784,0.0043853004401678,0.4552505232057121,0.2704573358577803,0.8830574511817173,0.0771129849919353,0.8651294715139373,0.012982096471712,,0.8957703997818458,0.0741743771731868,0.0741743771731868,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0382348299026489,-0.0099293684102774,0.3853021562099457,0.8315078308936431,-0.0099293684102774
adult,noniid,20,42,1,7,0.9906715119254784,0.0029511720749308,0.4552505232057121,0.1946459400755317,0.8830574511817173,0.0501887589841334,0.8651294715139373,0.0167852857924959,,0.8957703997818458,0.0526307736109071,0.0526307736109071,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0333011448383331,-0.0082915344456956,0.3853021562099457,0.8315078308936431,-0.0082915344456956
adult,noniid,20,42,1,8,0.9906715119254784,0.0034476404954447,0.4552505232057121,0.2471763678209091,0.8830574511817173,0.0583063880238026,0.8651294715139373,0.0352246386096517,,0.8957703997818458,0.0632058871706937,0.0632058871706937,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0331885814666748,-0.0077797113317638,0.3853021562099457,0.8315078308936431,-0.0077797113317638
adult,noniid,20,42,1,9,0.9906715119254784,0.0035663834578769,0.4552505232057121,0.219562338065639,0.8830574511817173,0.0547743779415297,0.8651294715139373,0.0360924413796317,,0.8957703997818458,0.054059352603991,0.054059352603991,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0361370146274566,-0.0089057221824138,0.3853021562099457,0.8315078308936431,-0.0089057221824138
