dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
imdb,iid,20,42,1,0,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0004960108604845,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,1,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,2,0.6620399951934814,0.0091276780496375,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,3,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0002756474519632,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0011274900398406,0.6916329860687256,0.5228,0.0011274900398406
imdb,iid,20,42,1,4,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,5,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,6,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,7,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,8,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,9,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.000559440267335,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,10,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,11,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,12,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-6.549206434511671e-05,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,13,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,14,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,15,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,16,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,17,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,-0.0002486424394319,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,18,0.6620399951934814,0.0,0.1277284026145935,0.0,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,1,19,0.6620399951934814,0.0,0.1277284026145935,0.0202820221352022,0.9058444444444445,0.0,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,0.0,0.0,0.6916329860687256,0.5228,0.0
imdb,iid,20,42,2,0,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,-0.0048019009370816,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0,0.6904266476631165,0.5204,0.0
imdb,iid,20,42,2,1,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,0.0,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0,0.6904266476631165,0.5204,0.0
imdb,iid,20,42,2,2,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,0.0,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0,0.6904266476631165,0.5204,0.0
imdb,iid,20,42,2,3,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,0.0,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0003664921465968,0.6904266476631165,0.5204,0.0003664921465968
imdb,iid,20,42,2,4,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,-0.0028787148594377,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0,0.6904266476631165,0.5204,0.0
imdb,iid,20,42,2,5,0.8415319919586182,0.0,0.6908504962921143,0.0,0.9807555555555556,0.0,,0.5204,0.6640316205533597,0.0677146311970979,0.1228968544257498,0.6904266476631165,0.0,0.0,0.6904266476631165,0.5204,0.0
