dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,accuracy,precision,recall,f1,loss,l1o_loss_contribution,l1o_acc_contribution,global_l1o_loss,global_l1o_acc,acc_contribution
imdb,iid,20,42,1,0,0.6620399951934814,-0.0012080073356628,0.1277284026145935,-0.0020210146903991,0.9058444444444445,0.0039111111111111,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-3.576278686523437e-06,-0.0,0.6916329860687256,0.5228,-0.0
imdb,iid,20,42,1,1,0.6620399951934814,-0.0016559958457946,0.1277284026145935,0.0020210742950439,0.9058444444444445,0.0021111111111111,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,4.589557647705078e-06,0.0008,0.6916329860687256,0.5228,0.0008
imdb,iid,20,42,1,2,0.6620399951934814,0.002120018005371,0.1277284026145935,0.0035876631736755,0.9058444444444445,0.0085999999999999,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,1.6093254089355469e-06,0.0004,0.6916329860687256,0.5228,0.0004
imdb,iid,20,42,1,3,0.6620399951934814,-0.0002039670944213,0.1277284026145935,0.000757098197937,0.9058444444444445,-0.0056444444444443,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,2.1457672119140625e-06,0.0002,0.6916329860687256,0.5228,0.0002
imdb,iid,20,42,1,4,0.6620399951934814,-0.001878023147583,0.1277284026145935,-0.0016167759895324,0.9058444444444445,0.0032444444444443,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,1.3172626495361328e-05,-0.0007999999999999,0.6916329860687256,0.5228,-0.0007999999999999
imdb,iid,20,42,1,5,0.6620399951934814,0.000573992729187,0.1277284026145935,0.0019193291664123,0.9058444444444445,0.0054444444444445,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-7.748603820800781e-07,-0.0001999999999999,0.6916329860687256,0.5228,-0.0001999999999999
imdb,iid,20,42,1,6,0.6620399951934814,-0.0012279748916625,0.1277284026145935,-0.0032336115837097,0.9058444444444445,0.0077111111111112,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,7.331371307373047e-06,-0.0003999999999999,0.6916329860687256,0.5228,-0.0003999999999999
imdb,iid,20,42,1,7,0.6620399951934814,-0.0007140040397644,0.1277284026145935,0.000757098197937,0.9058444444444445,0.0059111111111112,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,4.708766937255859e-06,-0.0,0.6916329860687256,0.5228,-0.0
imdb,iid,20,42,1,8,0.6620399951934814,-0.0021920204162597,0.1277284026145935,-0.002829372882843,0.9058444444444445,0.0001555555555556,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-8.404254913330078e-06,0.0002,0.6916329860687256,0.5228,0.0002
imdb,iid,20,42,1,9,0.6620399951934814,-0.004144012928009,0.1277284026145935,-0.0064672231674194,0.9058444444444445,0.003311111111111,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-6.556510925292969e-07,0.0004,0.6916329860687256,0.5228,0.0004
imdb,iid,20,42,1,10,0.6620399951934814,-0.0008299946784973,0.1277284026145935,0.0019702315330505,0.9058444444444445,-0.0016888888888888,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-7.867813110351562e-06,-0.0003999999999999,0.6916329860687256,0.5228,-0.0003999999999999
imdb,iid,20,42,1,11,0.6620399951934814,1.800060272216797e-05,0.1277284026145935,-0.0016691088676452,0.9058444444444445,-0.0093999999999998,,0.5228,0.5472636815920398,0.2216848045143087,0.3155479059093516,0.6916329860687256,-1.0192394256591795e-05,-0.0001999999999999,0.6916329860687256,0.5228,-0.0001999999999999
