dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,accuracy,precision,recall,f1,loss,l1o_loss_contribution,l1o_acc_contribution,global_l1o_loss,global_l1o_acc,acc_contribution
imdb,noniid,20,42,1,0,0.635514,0.026884,0.5713237990465714,0.0753858374512981,0.9441555555555556,-0.0007111111111108,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0003957748413085,-0.0071999999999999,0.6919850707054138,0.5128,-0.0071999999999999
imdb,noniid,20,42,1,1,0.635514,0.043752,0.5713237990465714,0.1263110113227862,0.9441555555555556,-0.002822222222222,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0002679228782653,-0.009,0.6919850707054138,0.5128,-0.009
imdb,noniid,20,42,1,2,0.635514,0.031658,0.5713237990465714,0.087702157530193,0.9441555555555556,-0.0013555555555555,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.000254213809967,-0.008,0.6919850707054138,0.5128,-0.008
imdb,noniid,20,42,1,3,0.635514,0.0290139999999999,0.5713237990465714,0.0809249807304709,0.9441555555555556,0.0124444444444444,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0003478527069091,-0.0083999999999999,0.6919850707054138,0.5128,-0.0083999999999999
imdb,noniid,20,42,1,4,0.635514,0.030724,0.5713237990465714,0.0858405208400296,0.9441555555555556,-0.0015999999999998,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0002744793891906,-0.008,0.6919850707054138,0.5128,-0.008
imdb,noniid,20,42,1,5,0.635514,0.033818,0.5713237990465714,0.0955350976525875,0.9441555555555556,-0.0010888888888886,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0002884268760681,-0.0071999999999999,0.6919850707054138,0.5128,-0.0071999999999999
imdb,noniid,20,42,1,6,0.635514,0.0400140000000001,0.5713237990465714,0.1103490830333797,0.9441555555555556,-0.0023777777777778,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0002723932266235,-0.0071999999999999,0.6919850707054138,0.5128,-0.0071999999999999
imdb,noniid,20,42,1,7,0.635514,0.030976,0.5713237990465714,0.0891743695287208,0.9441555555555556,-0.0011777777777777,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0003226399421691,-0.0067999999999999,0.6919850707054138,0.5128,-0.0067999999999999
imdb,noniid,20,42,1,8,0.635514,0.041,0.5713237990465714,0.1190827997813252,0.9441555555555556,-0.0013777777777777,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0003122687339782,-0.0085999999999999,0.6919850707054138,0.5128,-0.0085999999999999
imdb,noniid,20,42,1,9,0.635514,0.0365879999999999,0.5713237990465714,0.1095029473578783,0.9441555555555556,-0.0018444444444443,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0003142356872558,-0.009,0.6919850707054138,0.5128,-0.009
