dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_gtg_loss,global_gtg_acc
cifar,iid,20,42,1,0,0.9999979734420776,0.0,1.0,0.0832525572715215,1.0,0.0026914250188553,0.9055111111111112,0.0,,0.9999763200665708,0.0013450399543763,0.0013450399543763,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,1,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,2,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,3,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,4,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0016291554839864,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0077408016043365,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,5,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,6,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,-0.003203676865271,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,7,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,-0.000195947396672,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,8,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,9,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0021819047619047,2.810378313064575,0.0982
cifar,iid,20,42,1,10,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,11,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,12,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0022619047619047,2.810378313064575,0.0982
cifar,iid,20,42,1,13,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,14,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,15,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,16,0.9999979734420776,0.0152534456814036,1.0,0.0,1.0,0.0,0.9055111111111112,0.0,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,17,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.9055111111111112,-0.000605197709787,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0,0.0,2.810378313064575,0.0982
