dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
imdb,noniid,20,42,1,0,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0059786885245901,0.6919850707054138,0.5128,0.0059786885245901
imdb,noniid,20,42,1,1,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,2,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,3,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,4,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,5,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,6,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,7,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,8,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
imdb,noniid,20,42,1,9,0.635514,0.0,0.5713237990465714,0.0,0.9441555555555556,0.0,,0.5128,0.5758865248226951,0.1596539520251671,0.25,0.6919850707054138,0.0,0.0,0.6919850707054138,0.5128,0.0
