dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
celeba,noniid,4,42,1,0,,,0.7194738347154703,-0.1564746971222069,,,,,0.5391932129859924,0.0777040719985961,,,,,
celeba,noniid,4,42,1,1,,,0.7194738347154703,-0.2631893891871486,,,,,0.5391932129859924,0.1510378122329712,,,,,
celeba,noniid,4,42,1,2,,,0.7194738347154703,0.2993332018676551,,,,,0.5391932129859924,-0.0901592671871185,,,,,
celeba,noniid,4,42,1,3,,,0.7194738347154703,0.2236247781116968,,,,,0.5391932129859924,-0.0031849741935729,,,,,
celeba,noniid,4,42,2,0,,,0.6322640632264063,-0.0450764403179594,,,,,0.3544615507125854,0.0428780913352966,,,,,
celeba,noniid,4,42,2,1,,,0.6322640632264063,-0.0769736954813171,,,,,0.3544615507125854,0.0804414749145507,,,,,
celeba,noniid,4,42,2,2,,,0.6322640632264063,0.1343765826838223,,,,,0.3544615507125854,-0.0881113409996032,,,,,
celeba,noniid,4,42,2,3,,,0.6322640632264063,0.0298516299162694,,,,,0.3544615507125854,0.0601664185523986,,,,,
celeba,noniid,4,42,3,0,,,0.6174011299435028,-0.0054586571920826,,,,,0.2992345094680786,0.0225860476493835,,,,,
celeba,noniid,4,42,3,1,,,0.6174011299435028,-0.0671691825564971,,,,,0.2992345094680786,0.0864185690879821,,,,,
celeba,noniid,4,42,3,2,,,0.6174011299435028,0.1074321445646814,,,,,0.2992345094680786,-0.0540725886821746,,,,,
celeba,noniid,4,42,3,3,,,0.6174011299435028,0.0094139828239251,,,,,0.2992345094680786,0.0488089919090271,,,,,
celeba,noniid,4,42,4,0,,,0.6236776952509566,-0.0430679229394744,,,,,0.2862833142280578,0.0555883646011352,,,,,
celeba,noniid,4,42,4,1,,,0.6236776952509566,-0.0591003432286304,,,,,0.2862833142280578,0.0472212731838226,,,,,
celeba,noniid,4,42,4,2,,,0.6236776952509566,0.1171352246366297,,,,,0.2862833142280578,-0.0383533835411071,,,,,
celeba,noniid,4,42,4,3,,,0.6236776952509566,0.0149820430770435,,,,,0.2862833142280578,0.025028258562088,,,,,
celeba,noniid,4,42,5,0,,,0.5374807650032974,-0.0375306349055032,,,,,0.2500889003276825,0.0415828227996826,,,,,
