dataset,partition,num_clients,seed,round,client_id,global_gtg_acc,gtg_acc_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_loss,gtg_loss_contribution,global_gtg_priv,gtg_priv_contribution,global_gtg_rob,gtg_rob_contribution,acc_contribution
celeba,iid,4,42,10,3,,,0.4765726681127983,0.0500446182455304,,,,,,,0.8200666666666667,-0.0443255555555556,0.793196,0.0,
celeba,iid,4,107,1,0,,,0.6321269211700545,0.1458214354727978,,,,,,,0.8291999999999999,0.0,0.833152,0.0,
celeba,iid,4,107,1,1,,,0.6321269211700545,0.1921822345731444,,,,,,,0.8291999999999999,0.0,0.833152,0.0,
celeba,iid,4,107,1,2,,,0.6321269211700545,0.0,,,,,,,0.8291999999999999,-0.0409462962962962,0.833152,0.0015185333333333,
celeba,iid,4,107,1,3,,,0.6321269211700545,0.1358676508166813,,,,,,,0.8291999999999999,0.0,0.833152,-0.0227091333333333,
celeba,iid,4,107,2,0,,,0.581634889327197,0.0,,,,,,,0.7631555555555556,0.0,0.904268,0.0398844666666666,
celeba,iid,4,107,2,1,,,0.581634889327197,0.0094433479327887,,,,,,,0.7631555555555556,0.037584074074074,0.904268,0.0,
celeba,iid,4,107,2,2,,,0.581634889327197,0.0070325397144257,,,,,,,0.7631555555555556,0.0,0.904268,0.0065588,
celeba,iid,4,107,2,3,,,0.581634889327197,-0.003252546624611,,,,,,,0.7631555555555556,0.0,0.904268,0.0210921333333333,
celeba,iid,4,107,3,0,,,0.5373759647188534,-0.039519841639702,,,,,,,0.8895777777777778,0.0518162962962963,0.85543,0.0,
celeba,iid,4,107,3,1,,,0.5373759647188534,-0.0272078378422499,,,,,,,0.8895777777777778,0.0,0.85543,0.0,
celeba,iid,4,107,3,2,,,0.5373759647188534,0.0245907004285468,,,,,,,0.8895777777777778,0.0,0.85543,0.0484623333333333,
celeba,iid,4,107,3,3,,,0.5373759647188534,-0.0019014383884554,,,,,,,0.8895777777777778,0.0,0.85543,0.0,
celeba,iid,4,107,4,0,,,0.5762859633827375,0.0068370721921807,,,,,,,0.8066888888888888,0.0700425925925926,0.840876,0.0203441333333333,
celeba,iid,4,107,4,1,,,0.5762859633827375,-0.0119542849133776,,,,,,,0.8066888888888888,0.0145381481481482,0.840876,0.0,
celeba,iid,4,107,4,2,,,0.5762859633827375,0.0320141327543419,,,,,,,0.8066888888888888,0.0,0.840876,0.0,
celeba,iid,4,107,4,3,,,0.5762859633827375,0.0122310385261183,,,,,,,0.8066888888888888,0.0,0.840876,0.0,
celeba,iid,4,107,5,0,,,0.5563517915309446,-0.0415080396855996,,,,,,,0.7653777777777779,0.0149292592592592,0.824872,-0.0048944666666666,
celeba,iid,4,107,5,1,,,0.5563517915309446,0.0149664869497656,,,,,,,0.7653777777777779,0.0,0.824872,0.0087282666666666,
celeba,iid,4,107,5,2,,,0.5563517915309446,-0.0239551421697509,,,,,,,0.7653777777777779,0.0,0.824872,-0.0140299999999999,
celeba,iid,4,107,5,3,,,0.5563517915309446,0.0301282125217616,,,,,,,0.7653777777777779,0.0,0.824872,0.0,
celeba,iid,4,107,6,0,,,0.5426776429809359,0.0,,,,,,,0.7519555555555555,0.0,0.876234,0.0,
celeba,iid,4,107,6,1,,,0.5426776429809359,0.0128401357146598,,,,,,,0.7519555555555555,-0.0257088888888889,0.876234,0.0331749999999999,
celeba,iid,4,107,6,2,,,0.5426776429809359,0.072267181404868,,,,,,,0.7519555555555555,0.0,0.876234,0.0940461333333333,
celeba,iid,4,107,6,3,,,0.5426776429809359,-0.0070883973972104,,,,,,,0.7519555555555555,0.0406962962962963,0.876234,0.0,
celeba,iid,4,107,7,0,,,0.5249674337820234,0.0,,,,,,,0.6899111111111109,0.0,0.855966,0.0,
celeba,iid,4,107,7,1,,,0.5249674337820234,0.0179761879627281,,,,,,,0.6899111111111109,0.0,0.855966,0.0,
celeba,iid,4,107,7,2,,,0.5249674337820234,0.0052192460973157,,,,,,,0.6899111111111109,0.0,0.855966,0.0355714666666666,
celeba,iid,4,107,7,3,,,0.5249674337820234,0.0352135998085169,,,,,,,0.6899111111111109,0.021582962962963,0.855966,0.0,
celeba,iid,4,107,8,0,,,0.5103418245155671,-0.0369889071030518,,,,,,,0.723022222222222,0.0346762962962962,0.866338,0.0,
celeba,iid,4,107,8,1,,,0.5103418245155671,-0.0079717129275534,,,,,,,0.723022222222222,0.0,0.866338,0.0063780666666666,
celeba,iid,4,107,8,2,,,0.5103418245155671,0.0269581283102888,,,,,,,0.723022222222222,0.0,0.866338,0.0492131333333333,
celeba,iid,4,107,8,3,,,0.5103418245155671,0.0033768824538601,,,,,,,0.723022222222222,0.0,0.866338,0.0,
celeba,iid,4,107,9,0,,,0.4605034722222222,-0.0421002613883162,,,,,,,0.7887777777777778,0.0,0.808502,0.0,
celeba,iid,4,107,9,1,,,0.4605034722222222,-0.0205070935676608,,,,,,,0.7887777777777778,0.0041385185185186,0.808502,0.0,
celeba,iid,4,107,9,2,,,0.4605034722222222,0.0364814864986637,,,,,,,0.7887777777777778,0.0,0.808502,0.0529768666666666,
celeba,iid,4,107,9,3,,,0.4605034722222222,-0.0232784560582537,,,,,,,0.7887777777777778,0.030371111111111,0.808502,0.0,
celeba,iid,4,107,10,0,,,0.4484703840312432,-0.0737819802627889,,,,,,,0.8895666666666666,0.0,0.794354,0.0,
celeba,iid,4,107,10,1,,,0.4484703840312432,0.0538641852952849,,,,,,,0.8895666666666666,0.0088122222222223,0.794354,0.0350192,
celeba,iid,4,107,10,2,,,0.4484703840312432,0.0503733601100548,,,,,,,0.8895666666666666,0.0155714814814815,0.794354,0.0293363333333333,
celeba,iid,4,107,10,3,,,0.4484703840312432,0.0,,,,,,,0.8895666666666666,0.0,0.794354,0.0,
celeba,iid,4,123,1,0,,,0.6108303249097473,0.0,,,,,,,0.8216555555555556,-0.0190466666666666,0.864754,0.0,
celeba,iid,4,123,1,1,,,0.6108303249097473,0.1264235806230578,,,,,,,0.8216555555555556,0.0,0.864754,0.0,
celeba,iid,4,123,1,2,,,0.6108303249097473,0.2064259606069662,,,,,,,0.8216555555555556,0.0,0.864754,0.0187844,
celeba,iid,4,123,1,3,,,0.6108303249097473,0.1169018403053581,,,,,,,0.8216555555555556,0.0,0.864754,0.0,
celeba,iid,4,123,2,0,,,0.553879781420765,-0.0065800119394155,,,,,,,0.7972888888888887,0.0,0.879866,0.0,
celeba,iid,4,123,2,1,,,0.553879781420765,-0.042497154485949,,,,,,,0.7972888888888887,0.0,0.879866,0.0,
celeba,iid,4,123,2,2,,,0.553879781420765,0.0077631516191721,,,,,,,0.7972888888888887,0.0,0.879866,0.0675546666666666,
celeba,iid,4,123,2,3,,,0.553879781420765,-0.0149807909778716,,,,,,,0.7972888888888887,0.0089422222222222,0.879866,0.0,
celeba,iid,4,123,3,0,,,0.5728324961782049,-0.0438498791597034,,,,,,,0.7456333333333334,0.0,0.924188,0.0,
celeba,iid,4,123,3,1,,,0.5728324961782049,0.0488916968945629,,,,,,,0.7456333333333334,0.0,0.924188,0.0306712666666666,
celeba,iid,4,123,3,2,,,0.5728324961782049,0.0264412575275741,,,,,,,0.7456333333333334,0.0,0.924188,0.0079920666666666,
celeba,iid,4,123,3,3,,,0.5728324961782049,-0.0131032296460684,,,,,,,0.7456333333333334,0.0295066666666666,0.924188,0.0,
celeba,iid,4,123,4,0,,,0.5642361111111112,-0.0111978894787849,,,,,,,0.7250888888888891,0.0,0.92105,0.0,
