dataset,K,row,metric,mean,std,n
celebanoniid,20,ET-adv,res,0.5423039030801824,0.0111782874970916,5
imdbnoniid,4,ET-adv,res,0.0,0.0,5
imdbnoniid,20,ET-adv,res,0.0,0.0,5
adultnoniid,4,BL,rel,0.987676118333504,0.0017968427505335944,5
adultnoniid,20,BL,rel,0.9885609581328694,0.0013471970583164273,5
celebanoniid,4,BL,rel,0.9050264,0.013323133349178787,5
celebanoniid,20,BL,rel,0.9086627999999999,0.022668551346744677,5
imdbnoniid,4,BL,rel,0.7419667999999999,0.016506018325447264,5
imdbnoniid,20,BL,rel,0.7746144000000001,0.11760847087450803,5
adultnoniid,4,ST,rel,0.9938446105026102,0.0043621287300868086,5
adultnoniid,20,ST,rel,0.9954126317944517,0.0020060685942826424,5
celebanoniid,4,ST,rel,0.9998696,0.00016074526431593487,5
celebanoniid,20,ST,rel,0.9034136,0.023118817492250764,5
imdbnoniid,4,ST,rel,0.8618743999999999,0.1104084936544286,5
imdbnoniid,20,ST,rel,0.9850084000000001,0.014079745134056946,5
adultnoniid,4,DY,rel,0.9908786979219981,0.005389567230502799,5
adultnoniid,20,DY,rel,0.9930993960487255,0.004527591889951559,5
celebanoniid,4,DY,rel,0.9967103999999999,0.0063077977646718965,5
celebanoniid,20,DY,rel,0.925802,0.0114028600622826,5
imdbnoniid,4,DY,rel,0.9926368,0.0067131592085991785,5
imdbnoniid,20,DY,rel,0.9858103999999999,0.012426665161659434,5
adultnoniid,4,BL,res,0.4830584799566789,0.05512878134861448,5
adultnoniid,20,BL,res,0.6342534778408918,0.06944989053105109,5
celebanoniid,4,BL,res,0.00096305613137846,0.00022100417611353623,5
celebanoniid,20,BL,res,0.0032474864840764998,0.0020769472547717423,5
imdbnoniid,4,BL,res,0.0,0.0,5
imdbnoniid,20,BL,res,0.0,0.0,5
adultnoniid,4,ST,res,0.658070299313001,0.1617830316230331,5
adultnoniid,20,ST,res,0.6127762717647132,0.29321246056104056,5
celebanoniid,4,ST,res,0.6781406906455836,0.22100084356840213,5
celebanoniid,20,ST,res,0.007287189043422621,0.007731063697585695,5
imdbnoniid,4,ST,res,0.0,0.0,5
imdbnoniid,20,ST,res,0.0,0.0,5
adultnoniid,4,DY,res,0.6609775665447964,0.19008824761285456,5
adultnoniid,20,DY,res,0.789255901771174,0.16881961661869524,5
celebanoniid,4,DY,res,0.7795287015080481,0.39107694538185056,5
celebanoniid,20,DY,res,0.00654421581606902,0.004493578716066126,5
imdbnoniid,4,DY,res,0.0,0.0,5
imdbnoniid,20,DY,res,0.0,0.0,5
adultnoniid,4,ET-dp,priv,0.9740237557190875,0.010510569625248638,5
adultnoniid,20,ET-dp,priv,0.9739458466731193,0.0032420127055142593,5
celebanoniid,4,ET-dp,priv,0.9644992,0.01598309416740574,5
celebanoniid,20,ET-dp,priv,0.9480161280000001,0.012302393539402642,5
imdbnoniid,4,ET-dp,priv,0.980405888,0.003167465209648876,5
imdbnoniid,20,ET-dp,priv,0.978912384,0.0045499149531638096,5
adultnoniid,4,BL,priv,0.9344822150718957,0.03287469093167079,5
adultnoniid,20,BL,priv,0.959661291848024,0.01520653671952886,5
celebanoniid,4,BL,priv,0.900424704,0.03412612651129197,5
celebanoniid,20,BL,priv,0.932231424,0.033731281705940294,5
imdbnoniid,4,BL,priv,0.9311993599999999,0.004916865051310617,5
