dataset,num_clients,seed,target_group,condition,eval_metric,value
adultnoniid,20,42,fairness,BL,acc,0.8515712969597707
adultnoniid,20,42,fairness,BL,loss,0.33695608377456665
adultnoniid,20,42,fairness,BL,rel,0.9880888524925786
adultnoniid,20,42,fairness,BL,res,0.9437432383699964
adultnoniid,20,42,fairness,BL,fairDP,0.8815602846937406
adultnoniid,20,42,fairness,BL,fairEO,0.9502422146003011
adultnoniid,20,42,fairness,BL,priv,0.9502656554253606
adultnoniid,20,42,robustness,BL,acc,0.8515712969597707
adultnoniid,20,42,robustness,BL,loss,0.33695608377456665
adultnoniid,20,42,robustness,BL,rel,0.9880888524925786
adultnoniid,20,42,robustness,BL,res,0.9437432383699964
adultnoniid,20,42,robustness,BL,fairDP,0.8815602846937406
adultnoniid,20,42,robustness,BL,fairEO,0.9502422146003011
adultnoniid,20,42,robustness,BL,priv,0.9502656554253606
adultnoniid,20,42,privacy,BL,acc,0.8515712969597707
adultnoniid,20,42,privacy,BL,loss,0.33695608377456665
adultnoniid,20,42,privacy,BL,rel,0.9880888524925786
adultnoniid,20,42,privacy,BL,res,0.9437432383699964
adultnoniid,20,42,privacy,BL,fairDP,0.8815602846937406
adultnoniid,20,42,privacy,BL,fairEO,0.9502422146003011
adultnoniid,20,42,privacy,BL,priv,0.9502656554253606
adultnoniid,20,42,fairness,ST,acc,0.7806326133688197
adultnoniid,20,42,fairness,ST,loss,1.236503005027771
adultnoniid,20,42,fairness,ST,rel,0.9986365032244856
adultnoniid,20,42,fairness,ST,res,0.975347495410438
adultnoniid,20,42,fairness,ST,fairDP,0.9866235919893959
adultnoniid,20,42,fairness,ST,fairEO,0.9862276832264671
adultnoniid,20,42,fairness,ST,priv,0.9860578693502526
adultnoniid,20,42,fairness,DY,acc,0.7785853209130924
adultnoniid,20,42,fairness,DY,loss,1.7109026908874512
adultnoniid,20,42,fairness,DY,rel,0.9993755758010032
adultnoniid,20,42,fairness,DY,res,0.9764659479358401
adultnoniid,20,42,fairness,DY,fairDP,0.987839629081269
adultnoniid,20,42,fairness,DY,fairEO,0.9877866777588107
adultnoniid,20,42,fairness,DY,priv,0.9884444417613951
adultnoniid,20,42,robustness,ST,acc,0.7782782270447334
adultnoniid,20,42,robustness,ST,loss,1.7680941820144653
adultnoniid,20,42,robustness,ST,rel,0.9991790357252534
adultnoniid,20,42,robustness,ST,res,0.9768512429304222
adultnoniid,20,42,robustness,ST,fairDP,0.9878373127300988
adultnoniid,20,42,robustness,ST,fairEO,0.9886779309054372
adultnoniid,20,42,robustness,ST,priv,0.9903266008917115
adultnoniid,20,42,robustness,DY,acc,0.7901525232879517
adultnoniid,20,42,robustness,DY,loss,0.9044577479362488
adultnoniid,20,42,robustness,DY,rel,0.9970774900194492
adultnoniid,20,42,robustness,DY,res,0.9878222567690116
adultnoniid,20,42,robustness,DY,fairDP,0.9793065222776256
adultnoniid,20,42,robustness,DY,fairEO,0.9848949943520444
adultnoniid,20,42,robustness,DY,priv,0.9792744497904202
adultnoniid,20,42,privacy,ST,acc,0.7782782270447334
adultnoniid,20,42,privacy,ST,loss,1.7680941820144653
adultnoniid,20,42,privacy,ST,rel,0.9991790357252534
adultnoniid,20,42,privacy,ST,res,0.9768512429304222
adultnoniid,20,42,privacy,ST,fairDP,0.9878373127300988
adultnoniid,20,42,privacy,ST,fairEO,0.9886779309054372
adultnoniid,20,42,privacy,ST,priv,0.9590434191171291
adultnoniid,20,42,privacy,DY,acc,0.8482956290306071
adultnoniid,20,42,privacy,DY,loss,0.3710116147994995
adultnoniid,20,42,privacy,DY,rel,0.9883294093561266
adultnoniid,20,42,privacy,DY,res,0.9435260045854954
adultnoniid,20,42,privacy,DY,fairDP,0.8967257194397644
adultnoniid,20,42,privacy,DY,fairEO,0.9673828671643745
adultnoniid,20,42,privacy,DY,priv,0.9564068200431834
adultnoniid,20,107,fairness,BL,acc,0.8393899068481933
adultnoniid,20,107,fairness,BL,loss,0.36303818225860596
adultnoniid,20,107,fairness,BL,rel,0.9875401781144436
adultnoniid,20,107,fairness,BL,res,0.9469512195121951
adultnoniid,20,107,fairness,BL,fairDP,0.9228980294942413
adultnoniid,20,107,fairness,BL,fairEO,0.9865175219113814
adultnoniid,20,107,fairness,BL,priv,0.966422978707991
adultnoniid,20,107,robustness,BL,acc,0.8393899068481933
adultnoniid,20,107,robustness,BL,loss,0.36303818225860596
adultnoniid,20,107,robustness,BL,rel,0.9875401781144436
adultnoniid,20,107,robustness,BL,res,0.9469512195121951
adultnoniid,20,107,robustness,BL,fairDP,0.9228980294942413
adultnoniid,20,107,robustness,BL,fairEO,0.9865175219113814
adultnoniid,20,107,robustness,BL,priv,0.966422978707991
adultnoniid,20,107,privacy,BL,acc,0.8393899068481933
adultnoniid,20,107,privacy,BL,loss,0.36303818225860596
adultnoniid,20,107,privacy,BL,rel,0.9875401781144436
adultnoniid,20,107,privacy,BL,res,0.9469512195121951
adultnoniid,20,107,privacy,BL,fairDP,0.9228980294942413
adultnoniid,20,107,privacy,BL,fairEO,0.9865175219113814
adultnoniid,20,107,privacy,BL,priv,0.966422978707991
adultnoniid,20,107,fairness,ST,acc,0.7784829562903061
adultnoniid,20,107,fairness,ST,loss,1.3160909414291382
adultnoniid,20,107,fairness,ST,rel,0.9988842256116286
adultnoniid,20,107,fairness,ST,res,0.9794871794871794
adultnoniid,20,107,fairness,ST,fairDP,0.9796756730181961
adultnoniid,20,107,fairness,ST,fairEO,0.9847560101291366
adultnoniid,20,107,fairness,ST,priv,0.9905938996848089
adultnoniid,20,107,fairness,DY,acc,0.7822704473334016
adultnoniid,20,107,fairness,DY,loss,0.8027229309082031
adultnoniid,20,107,fairness,DY,rel,0.997980345992425
adultnoniid,20,107,fairness,DY,res,0.9808950536508767
adultnoniid,20,107,fairness,DY,fairDP,0.9817084838961594
adultnoniid,20,107,fairness,DY,fairEO,0.9994394290676829
adultnoniid,20,107,fairness,DY,priv,0.9692039593759496
adultnoniid,20,107,robustness,ST,acc,0.7784829562903061
adultnoniid,20,107,robustness,ST,loss,1.3160909414291382
adultnoniid,20,107,robustness,ST,rel,0.9988842256116286
adultnoniid,20,107,robustness,ST,res,0.9794871794871794
adultnoniid,20,107,robustness,ST,fairDP,0.9796756730181961
adultnoniid,20,107,robustness,ST,fairEO,0.9847560101291366
adultnoniid,20,107,robustness,ST,priv,0.977729516427305
adultnoniid,20,107,robustness,DY,acc,0.7847271982802744
adultnoniid,20,107,robustness,DY,loss,0.9335797429084778
adultnoniid,20,107,robustness,DY,rel,0.9982946053843792
adultnoniid,20,107,robustness,DY,res,0.985911818418993
adultnoniid,20,107,robustness,DY,fairDP,0.9769534876685028
adultnoniid,20,107,robustness,DY,fairEO,0.9923920598969006
adultnoniid,20,107,robustness,DY,priv,0.9799472244189689
adultnoniid,20,107,privacy,ST,acc,0.7809397072371789
adultnoniid,20,107,privacy,ST,loss,1.1180909872055054
adultnoniid,20,107,privacy,ST,rel,0.9984727198280274
adultnoniid,20,107,privacy,ST,res,0.979813868134749
adultnoniid,20,107,privacy,ST,fairDP,0.9793878782034191
adultnoniid,20,107,privacy,ST,fairEO,0.9901653239788399
adultnoniid,20,107,privacy,ST,priv,0.95893374947429
adultnoniid,20,107,privacy,DY,acc,0.7984440577336472
adultnoniid,20,107,privacy,DY,loss,0.648144543170929
adultnoniid,20,107,privacy,DY,rel,0.996689528099089
adultnoniid,20,107,privacy,DY,res,0.978974358974359
adultnoniid,20,107,privacy,DY,fairDP,0.9650670134575275
adultnoniid,20,107,privacy,DY,fairEO,0.9921126291567357
adultnoniid,20,107,privacy,DY,priv,0.9474038478952485
adultnoniid,20,123,fairness,BL,acc,0.8315078308936431
adultnoniid,20,123,fairness,BL,loss,0.39988210797309875
adultnoniid,20,123,fairness,BL,rel,0.9892711638857611
adultnoniid,20,123,fairness,BL,res,0.9389388157084821
adultnoniid,20,123,fairness,BL,fairDP,0.9195472620729168
adultnoniid,20,123,fairness,BL,fairEO,0.9563621132539628
adultnoniid,20,123,fairness,BL,priv,0.9757284646719535
adultnoniid,20,123,robustness,BL,acc,0.8315078308936431
adultnoniid,20,123,robustness,BL,loss,0.39988210797309875
adultnoniid,20,123,robustness,BL,rel,0.9892711638857611
adultnoniid,20,123,robustness,BL,res,0.9389388157084821
adultnoniid,20,123,robustness,BL,fairDP,0.9195472620729168
adultnoniid,20,123,robustness,BL,fairEO,0.9563621132539628
adultnoniid,20,123,robustness,BL,priv,0.9757284646719535
adultnoniid,20,123,privacy,BL,acc,0.8315078308936431
adultnoniid,20,123,privacy,BL,loss,0.39988210797309875
adultnoniid,20,123,privacy,BL,rel,0.9892711638857611
adultnoniid,20,123,privacy,BL,res,0.9389388157084821
adultnoniid,20,123,privacy,BL,fairDP,0.9195472620729168
adultnoniid,20,123,privacy,BL,fairEO,0.9563621132539628
adultnoniid,20,123,privacy,BL,priv,0.9757284646719535
adultnoniid,20,123,fairness,ST,acc,0.7755143822295015
adultnoniid,20,123,fairness,ST,loss,1.1281541585922241
adultnoniid,20,123,fairness,ST,rel,0.9993254171358379
adultnoniid,20,123,fairness,ST,res,0.9791446673706441
adultnoniid,20,123,fairness,ST,fairDP,0.9839619154049644
adultnoniid,20,123,fairness,ST,fairEO,0.9907453214985499
adultnoniid,20,123,fairness,ST,priv,0.9796514182263567
adultnoniid,20,123,fairness,DY,acc,0.7760262053434334
adultnoniid,20,123,fairness,DY,loss,1.1095752716064453
adultnoniid,20,123,fairness,DY,rel,0.9993704575698639
adultnoniid,20,123,fairness,DY,res,0.9788946049333861
adultnoniid,20,123,fairness,DY,fairDP,0.984119710919374
adultnoniid,20,123,fairness,DY,fairEO,0.9927785800485732
