dataset,partition,num_clients,seed,round,client_id,global_gtg_loss,gtg_loss_contribution,abs_contribution
celeba,noniid,4,107,1,0,0.5609756708145142,-0.0,0.0
celeba,noniid,4,107,1,1,0.5609756708145142,-0.0,0.0
celeba,noniid,4,107,1,2,0.5609756708145142,-0.0,0.0
celeba,noniid,4,107,1,3,0.5609756708145142,0.28856987357139585,0.28856987357139585
celeba,noniid,4,107,2,0,0.38214725255966187,-0.0,0.0
celeba,noniid,4,107,2,1,0.38214725255966187,-0.0,0.0
celeba,noniid,4,107,2,2,0.38214725255966187,-0.0,0.0
celeba,noniid,4,107,2,3,0.38214725255966187,0.2501771360635757,0.2501771360635757
celeba,noniid,4,107,3,0,0.2739250361919403,0.19090701937675475,0.19090701937675475
celeba,noniid,4,107,3,1,0.2739250361919403,0.12016466160615286,0.12016466160615286
celeba,noniid,4,107,3,2,0.2739250361919403,-0.0,0.0
celeba,noniid,4,107,3,3,0.2739250361919403,0.2069599409898122,0.2069599409898122
celeba,noniid,4,107,4,0,0.27381524443626404,-0.0,0.0
celeba,noniid,4,107,4,1,0.27381524443626404,0.1738570680220922,0.1738570680220922
celeba,noniid,4,107,4,2,0.27381524443626404,-0.0,0.0
celeba,noniid,4,107,4,3,0.27381524443626404,0.23013779520988464,0.23013779520988464
celeba,noniid,4,107,5,0,0.25125399231910706,-0.0,0.0
celeba,noniid,4,107,5,1,0.25125399231910706,0.12479186753431956,0.12479186753431956
celeba,noniid,4,107,5,2,0.25125399231910706,-0.0,0.0
celeba,noniid,4,107,5,3,0.25125399231910706,0.24030844867229462,0.24030844867229462
celeba,noniid,4,107,6,0,0.24408915638923645,-0.0,0.0
celeba,noniid,4,107,6,1,0.24408915638923645,-0.0,0.0
celeba,noniid,4,107,6,2,0.24408915638923645,-0.0,0.0
celeba,noniid,4,107,6,3,0.24408915638923645,0.3459711546699206,0.3459711546699206
celeba,noniid,4,107,7,0,0.2675667703151703,-0.0,0.0
celeba,noniid,4,107,7,1,0.2675667703151703,-0.0,0.0
celeba,noniid,4,107,7,2,0.2675667703151703,-0.0,0.0
celeba,noniid,4,107,7,3,0.2675667703151703,0.17656415005524953,0.17656415005524953
celeba,noniid,4,107,8,0,0.23579108715057373,-0.0,0.0
celeba,noniid,4,107,8,1,0.23579108715057373,-0.0,0.0
celeba,noniid,4,107,8,2,0.23579108715057373,-0.0,0.0
celeba,noniid,4,107,8,3,0.23579108715057373,0.15421577195326489,0.15421577195326489
celeba,noniid,4,107,9,0,0.23474255204200745,-0.0,0.0
celeba,noniid,4,107,9,1,0.23474255204200745,-0.0,0.0
celeba,noniid,4,107,9,2,0.23474255204200745,-0.0,0.0
celeba,noniid,4,107,9,3,0.23474255204200745,0.17335006843010584,0.17335006843010584
celeba,noniid,4,107,10,0,0.2174038290977478,-0.0,0.0
celeba,noniid,4,107,10,1,0.2174038290977478,0.21060274243354798,0.21060274243354798
celeba,noniid,4,107,10,2,0.2174038290977478,-0.0,0.0
celeba,noniid,4,107,10,3,0.2174038290977478,0.2664149969816208,0.2664149969816208
