dataset,num_clients,seed,target_group,condition,eval_metric,value
celebanoniid,4,9928,robustness,BL,res,0.0
celebanoniid,4,9928,robustness,BL,fairDP,0.8265857155180558
celebanoniid,4,9928,robustness,BL,fairEO,0.9565917475563063
celebanoniid,4,9928,robustness,BL,priv,0.9076288000000001
celebanoniid,4,9928,privacy,BL,acc,0.9108
celebanoniid,4,9928,privacy,BL,loss,0.2354932427406311
celebanoniid,4,9928,privacy,BL,rel,0.9063019999999999
celebanoniid,4,9928,privacy,BL,res,0.0
celebanoniid,4,9928,privacy,BL,fairDP,0.8265857155180558
celebanoniid,4,9928,privacy,BL,fairEO,0.9565917475563063
celebanoniid,4,9928,privacy,BL,priv,0.9076288000000001
celebanoniid,4,9928,fairness,ST,acc,0.583
celebanoniid,4,9928,fairness,ST,loss,1.839020848274231
celebanoniid,4,9928,fairness,ST,rel,0.969924
celebanoniid,4,9928,fairness,ST,res,0.6113207547169811
celebanoniid,4,9928,fairness,ST,fairDP,0.9533764105176246
celebanoniid,4,9928,fairness,ST,fairEO,0.9650360935531408
celebanoniid,4,9928,fairness,ST,priv,0.9879040000000001
celebanoniid,4,9928,fairness,DY,acc,0.8836
celebanoniid,4,9928,fairness,DY,loss,0.3167729377746582
celebanoniid,4,9928,fairness,DY,rel,0.934868
celebanoniid,4,9928,fairness,DY,res,0.0013580805794477513
celebanoniid,4,9928,fairness,DY,fairDP,0.8622102456878314
celebanoniid,4,9928,fairness,DY,fairEO,0.9707120503382678
celebanoniid,4,9928,fairness,DY,priv,0.96629184
celebanoniid,4,9928,robustness,ST,acc,0.913
celebanoniid,4,9928,robustness,ST,loss,0.23424914479255676
celebanoniid,4,9928,robustness,ST,rel,0.917682
celebanoniid,4,9928,robustness,ST,res,0.000657174151150075
celebanoniid,4,9928,robustness,ST,fairDP,0.8399139004021541
celebanoniid,4,9928,robustness,ST,fairEO,0.9728592059961493
celebanoniid,4,9928,robustness,ST,priv,0.8963417599999999
celebanoniid,4,9928,robustness,DY,acc,0.913
celebanoniid,4,9928,robustness,DY,loss,0.23424914479255676
celebanoniid,4,9928,robustness,DY,rel,0.917404
celebanoniid,4,9928,robustness,DY,res,0.000657174151150075
celebanoniid,4,9928,robustness,DY,fairDP,0.8399139004021541
celebanoniid,4,9928,robustness,DY,fairEO,0.9728592059961493
celebanoniid,4,9928,robustness,DY,priv,0.9136511999999999
