dataset,num_clients,seed,target_group,condition,eval_metric,value
adultnoniid,4,107,robustness,ST,priv,0.9640157803548466
adultnoniid,4,107,robustness,DY,acc,0.8385709898659024
adultnoniid,4,107,robustness,DY,loss,0.35831916332244873
adultnoniid,4,107,robustness,DY,rel,0.9913819224076159
adultnoniid,4,107,robustness,DY,res,0.94580078125
adultnoniid,4,107,robustness,DY,fairDP,0.9067024330196332
adultnoniid,4,107,robustness,DY,fairEO,0.947630379632298
adultnoniid,4,107,robustness,DY,priv,0.9547171697048846
adultnoniid,4,107,privacy,ST,acc,0.8381615313747569
adultnoniid,4,107,privacy,ST,loss,0.3679675757884979
adultnoniid,4,107,privacy,ST,rel,0.9908915958644693
adultnoniid,4,107,privacy,ST,res,0.9461406936980947
adultnoniid,4,107,privacy,ST,fairDP,0.9076214098920485
adultnoniid,4,107,privacy,ST,fairEO,0.9503540999826878
adultnoniid,4,107,privacy,ST,priv,0.9609358073731538
adultnoniid,4,107,privacy,DY,acc,0.8383662606203296
adultnoniid,4,107,privacy,DY,loss,0.3712214529514313
adultnoniid,4,107,privacy,DY,rel,0.990720646944416
adultnoniid,4,107,privacy,DY,res,0.9454279086802588
adultnoniid,4,107,privacy,DY,fairDP,0.9085427031156341
adultnoniid,4,107,privacy,DY,fairEO,0.9536880761326465
adultnoniid,4,107,privacy,DY,priv,0.9639066137837635
adultnoniid,4,123,fairness,BL,acc,0.8619101238611936
adultnoniid,4,123,fairness,BL,loss,0.3057257831096649
adultnoniid,4,123,fairness,BL,rel,0.9877766403930801
adultnoniid,4,123,fairness,BL,res,0.9224465558194774
adultnoniid,4,123,fairness,BL,fairDP,0.8625003545435465
adultnoniid,4,123,fairness,BL,fairEO,0.9754424470473279
adultnoniid,4,123,fairness,BL,priv,0.9111156052187994
adultnoniid,4,123,robustness,BL,acc,0.8619101238611936
adultnoniid,4,123,robustness,BL,loss,0.3057257831096649
adultnoniid,4,123,robustness,BL,rel,0.9877766403930801
adultnoniid,4,123,robustness,BL,res,0.9224465558194774
adultnoniid,4,123,robustness,BL,fairDP,0.8625003545435465
adultnoniid,4,123,robustness,BL,fairEO,0.9754424470473279
adultnoniid,4,123,robustness,BL,priv,0.9111156052187994
adultnoniid,4,123,privacy,BL,acc,0.8619101238611936
adultnoniid,4,123,privacy,BL,loss,0.3057257831096649
adultnoniid,4,123,privacy,BL,rel,0.9877766403930801
adultnoniid,4,123,privacy,BL,res,0.9224465558194774
adultnoniid,4,123,privacy,BL,fairDP,0.8625003545435465
adultnoniid,4,123,privacy,BL,fairEO,0.9754424470473279
adultnoniid,4,123,privacy,BL,priv,0.9111156052187994
adultnoniid,4,123,fairness,ST,acc,0.8019244549083837
adultnoniid,4,123,fairness,ST,loss,0.49490755796432495
adultnoniid,4,123,fairness,ST,rel,0.9967949636605589
adultnoniid,4,123,fairness,ST,res,0.9826397753382691
adultnoniid,4,123,fairness,ST,fairDP,0.9556939693560922
adultnoniid,4,123,fairness,ST,fairEO,0.9698262804796163
adultnoniid,4,123,fairness,ST,priv,0.9815627555185293
adultnoniid,4,123,fairness,DY,acc,0.8019244549083837
adultnoniid,4,123,fairness,DY,loss,0.49490755796432495
adultnoniid,4,123,fairness,DY,rel,0.9967949636605589
adultnoniid,4,123,fairness,DY,res,0.9826397753382691
adultnoniid,4,123,fairness,DY,fairDP,0.9556939693560922
adultnoniid,4,123,fairness,DY,fairEO,0.9698262804796163
adultnoniid,4,123,fairness,DY,priv,0.9517633000433985
adultnoniid,4,123,robustness,ST,acc,0.8019244549083837
adultnoniid,4,123,robustness,ST,loss,0.49490755796432495
adultnoniid,4,123,robustness,ST,rel,0.9967949636605589
adultnoniid,4,123,robustness,ST,res,0.9826397753382691
adultnoniid,4,123,robustness,ST,fairDP,0.9556939693560922
adultnoniid,4,123,robustness,ST,fairEO,0.9698262804796163
adultnoniid,4,123,robustness,ST,priv,0.9733485998842264
adultnoniid,4,123,robustness,DY,acc,0.8019244549083837
adultnoniid,4,123,robustness,DY,loss,0.49490755796432495
adultnoniid,4,123,robustness,DY,rel,0.9967949636605589
adultnoniid,4,123,robustness,DY,res,0.9826397753382691
adultnoniid,4,123,robustness,DY,fairDP,0.9556939693560922
