dataset,partition,num_clients,seed,round,client_id,global_gtg_loss,gtg_loss_contribution,abs_contribution
celeba,iid,4,9928,1,0,0.472822368144989,0.03450770676136017,0.03450770676136017
celeba,iid,4,9928,1,1,0.472822368144989,-0.0,0.0
celeba,iid,4,9928,1,2,0.472822368144989,-0.0,0.0
celeba,iid,4,9928,1,3,0.472822368144989,-0.0,0.0
celeba,iid,4,9928,2,0,0.21652841567993164,0.07276753385861714,0.07276753385861714
celeba,iid,4,9928,2,1,0.21652841567993164,0.07577101389567058,0.07577101389567058
celeba,iid,4,9928,2,2,0.21652841567993164,-0.0,0.0
celeba,iid,4,9928,2,3,0.21652841567993164,0.05586541344722112,0.05586541344722112
celeba,iid,4,9928,3,0,0.19667738676071167,-0.002164103090763092,0.002164103090763092
celeba,iid,4,9928,3,1,0.19667738676071167,0.010264813899993896,0.010264813899993896
celeba,iid,4,9928,3,2,0.19667738676071167,0.010642738143603007,0.010642738143603007
celeba,iid,4,9928,3,3,0.19667738676071167,0.0011075799663861593,0.0011075799663861593
celeba,iid,4,9928,4,0,0.1913711428642273,0.0030050267775853473,0.0030050267775853473
celeba,iid,4,9928,4,1,0.1913711428642273,-0.014241978029410044,0.014241978029410044
celeba,iid,4,9928,4,2,0.1913711428642273,0.011399381359418233,0.011399381359418233
celeba,iid,4,9928,4,3,0.1913711428642273,0.005077330768108368,0.005077330768108368
celeba,iid,4,9928,5,0,0.19188472628593445,-0.0,0.0
celeba,iid,4,9928,5,1,0.19188472628593445,-0.0,0.0
celeba,iid,4,9928,5,2,0.19188472628593445,-0.0,0.0
celeba,iid,4,9928,5,3,0.19188472628593445,-0.0,0.0
celeba,iid,4,9928,6,0,0.18685698509216309,0.01343967318534851,0.01343967318534851
celeba,iid,4,9928,6,1,0.18685698509216309,0.005636007090409597,0.005636007090409597
celeba,iid,4,9928,6,2,0.18685698509216309,-0.0016217892368634542,0.0016217892368634542
celeba,iid,4,9928,6,3,0.18685698509216309,-0.012426149845123292,0.012426149845123292
celeba,iid,4,9928,7,0,0.18685698509216309,0.0020231942335764566,0.0020231942335764566
celeba,iid,4,9928,7,1,0.18685698509216309,-0.0,0.0
celeba,iid,4,9928,7,2,0.18685698509216309,-0.0,0.0
celeba,iid,4,9928,7,3,0.18685698509216309,0.004436105489730835,0.004436105489730835
celeba,iid,4,9928,8,0,0.18893374502658844,-0.02594719777504603,0.02594719777504603
celeba,iid,4,9928,8,1,0.18893374502658844,-0.0032344823082288104,0.0032344823082288104
celeba,iid,4,9928,8,2,0.18893374502658844,-0.0,0.0
celeba,iid,4,9928,8,3,0.18893374502658844,0.012636459370454153,0.012636459370454153
celeba,iid,4,9928,9,0,0.18601785600185394,-0.007765781879425049,0.007765781879425049
celeba,iid,4,9928,9,1,0.18601785600185394,-0.028012735148270924,0.028012735148270924
celeba,iid,4,9928,9,2,0.18601785600185394,0.024581831693649293,0.024581831693649293
celeba,iid,4,9928,9,3,0.18601785600185394,0.013736758629480999,0.013736758629480999
celeba,iid,4,9928,10,0,0.18345989286899567,-0.0011096517244974771,0.0011096517244974771
celeba,iid,4,9928,10,1,0.18345989286899567,-0.01885912964741389,0.01885912964741389
celeba,iid,4,9928,10,2,0.18345989286899567,0.0073466643691062926,0.0073466643691062926
celeba,iid,4,9928,10,3,0.18345989286899567,0.015180065234502157,0.015180065234502157
celeba,iid,20,9928,1,0,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,1,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,2,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,3,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,4,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,5,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,6,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,7,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,8,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,9,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,10,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,11,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,12,0.6443820595741272,0.0001399556795756022,0.0001399556795756022
celeba,iid,20,9928,1,13,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,14,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,15,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,16,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,17,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,18,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,1,19,0.6443820595741272,-0.0,0.0
celeba,iid,20,9928,2,0,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,1,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,2,0.32825130224227905,0.02480388283729553,0.02480388283729553
celeba,iid,20,9928,2,3,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,4,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,5,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,6,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,7,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,8,0.32825130224227905,-0.0,0.0
celeba,iid,20,9928,2,9,0.32825130224227905,0.023612611492474875,0.023612611492474875
