dataset,partition,num_clients,seed,round,client_id,global_gtg_loss,gtg_loss_contribution,abs_contribution
celeba,iid,4,2025,1,0,0.36175909638404846,-0.0,0.0
celeba,iid,4,2025,1,1,0.36175909638404846,-0.0,0.0
celeba,iid,4,2025,1,2,0.36175909638404846,-0.0,0.0
celeba,iid,4,2025,1,3,0.36175909638404846,0.10067426959673563,0.10067426959673563
celeba,iid,4,2025,2,0,0.20970600843429565,0.03273068219423294,0.03273068219423294
celeba,iid,4,2025,2,1,0.20970600843429565,0.05023256589968999,0.05023256589968999
celeba,iid,4,2025,2,2,0.20970600843429565,0.0361043319106102,0.0361043319106102
celeba,iid,4,2025,2,3,0.20970600843429565,-0.0,0.0
celeba,iid,4,2025,3,0,0.21119926869869232,-0.014931283394495646,0.014931283394495646
celeba,iid,4,2025,3,1,0.21119926869869232,-0.0,0.0
celeba,iid,4,2025,3,2,0.21119926869869232,0.007920973499615987,0.007920973499615987
celeba,iid,4,2025,3,3,0.21119926869869232,-0.0,0.0
celeba,iid,4,2025,4,0,0.1987943798303604,-0.0,0.0
celeba,iid,4,2025,4,1,0.1987943798303604,0.0016166970133781433,0.0016166970133781433
celeba,iid,4,2025,4,2,0.1987943798303604,0.015003218253453573,0.015003218253453573
celeba,iid,4,2025,4,3,0.1987943798303604,0.011535164217154186,0.011535164217154186
celeba,iid,4,2025,5,0,0.19893041253089905,-0.0,0.0
celeba,iid,4,2025,5,1,0.19893041253089905,-0.0,0.0
celeba,iid,4,2025,5,2,0.19893041253089905,-0.0,0.0
celeba,iid,4,2025,5,3,0.19893041253089905,-0.0,0.0
celeba,iid,4,2025,6,0,0.19784916937351227,-0.0,0.0
celeba,iid,4,2025,6,1,0.19784916937351227,0.02162943184375763,0.02162943184375763
celeba,iid,4,2025,6,2,0.19784916937351227,0.000924485425154368,0.000924485425154368
celeba,iid,4,2025,6,3,0.19784916937351227,0.008395201961199443,0.008395201961199443
celeba,iid,4,2025,7,0,0.20280149579048157,-0.0,0.0
celeba,iid,4,2025,7,1,0.20280149579048157,0.01767920156319936,0.01767920156319936
celeba,iid,4,2025,7,2,0.20280149579048157,0.01790066957473755,0.01790066957473755
celeba,iid,4,2025,7,3,0.20280149579048157,-0.0,0.0
celeba,iid,4,2025,8,0,0.1987801194190979,-0.021228974560896556,0.021228974560896556
celeba,iid,4,2025,8,1,0.1987801194190979,0.017414861420790354,0.017414861420790354
celeba,iid,4,2025,8,2,0.1987801194190979,0.006016793847084046,0.006016793847084046
celeba,iid,4,2025,8,3,0.1987801194190979,-0.0,0.0
celeba,iid,4,2025,9,0,0.19566763937473297,-0.04679377774397532,0.04679377774397532
celeba,iid,4,2025,9,1,0.19566763937473297,0.03312625090281169,0.03312625090281169
celeba,iid,4,2025,9,2,0.19566763937473297,0.0019195045034090677,0.0019195045034090677
celeba,iid,4,2025,9,3,0.19566763937473297,-0.0,0.0
celeba,iid,4,2025,10,0,0.22364819049835205,0.01648857941230138,0.01648857941230138
celeba,iid,4,2025,10,1,0.22364819049835205,0.008592066665490469,0.008592066665490469
celeba,iid,4,2025,10,2,0.22364819049835205,-0.004410305619239807,0.004410305619239807
celeba,iid,4,2025,10,3,0.22364819049835205,-0.0,0.0
celeba,iid,20,2025,1,0,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,1,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,2,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,3,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,4,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,5,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,6,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,7,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,8,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,9,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,10,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,11,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,12,0.6950734853744507,0.013885184129079183,0.013885184129079183
celeba,iid,20,2025,1,13,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,14,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,15,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,16,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,17,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,18,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,1,19,0.6950734853744507,-0.0,0.0
celeba,iid,20,2025,2,0,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,1,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,2,0.3774651288986206,0.0314953754345576,0.0314953754345576
celeba,iid,20,2025,2,3,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,4,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,5,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,6,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,7,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,8,0.3774651288986206,0.035042590896288556,0.035042590896288556
celeba,iid,20,2025,2,9,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,10,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,11,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,12,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,13,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,14,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,15,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,16,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,17,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,18,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,2,19,0.3774651288986206,-0.0,0.0
celeba,iid,20,2025,3,0,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,1,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,2,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,3,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,4,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,5,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,6,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,7,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,8,0.23932106792926788,0.004489991068840027,0.004489991068840027
celeba,iid,20,2025,3,9,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,10,0.23932106792926788,0.008330813546975454,0.008330813546975454
celeba,iid,20,2025,3,11,0.23932106792926788,0.0038150091965993243,0.0038150091965993243
celeba,iid,20,2025,3,12,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,13,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,14,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,15,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,16,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,17,0.23932106792926788,0.003372141222159068,0.003372141222159068
celeba,iid,20,2025,3,18,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,3,19,0.23932106792926788,-0.0,0.0
celeba,iid,20,2025,4,0,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,1,0.23716701567173004,0.002202626566092173,0.002202626566092173
celeba,iid,20,2025,4,2,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,3,0.23716701567173004,-0.003965046505133311,0.003965046505133311
celeba,iid,20,2025,4,4,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,5,0.23716701567173004,-0.0017585302392641702,0.0017585302392641702
celeba,iid,20,2025,4,6,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,7,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,8,0.23716701567173004,0.0060040955742200215,0.0060040955742200215
celeba,iid,20,2025,4,9,0.23716701567173004,-0.0007968167463938395,0.0007968167463938395
celeba,iid,20,2025,4,10,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,11,0.23716701567173004,0.0026220232248306274,0.0026220232248306274
celeba,iid,20,2025,4,12,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,13,0.23716701567173004,0.003464660048484802,0.003464660048484802
celeba,iid,20,2025,4,14,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,15,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,16,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,17,0.23716701567173004,0.0017981012662251791,0.0017981012662251791
celeba,iid,20,2025,4,18,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,4,19,0.23716701567173004,-0.0,0.0
celeba,iid,20,2025,5,0,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,1,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,2,0.22055532038211823,0.006716643273830414,0.006716643273830414
celeba,iid,20,2025,5,3,0.22055532038211823,-0.003170307477315267,0.003170307477315267
celeba,iid,20,2025,5,4,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,5,0.22055532038211823,-0.0026264046629269917,0.0026264046629269917
celeba,iid,20,2025,5,6,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,7,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,8,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,9,0.22055532038211823,0.007460651298364003,0.007460651298364003
celeba,iid,20,2025,5,10,0.22055532038211823,0.0035113046566645303,0.0035113046566645303
celeba,iid,20,2025,5,11,0.22055532038211823,0.0024836247165997824,0.0024836247165997824
celeba,iid,20,2025,5,12,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,13,0.22055532038211823,0.00465119332075119,0.00465119332075119
celeba,iid,20,2025,5,14,0.22055532038211823,0.0013979514439900716,0.0013979514439900716
celeba,iid,20,2025,5,15,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,16,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,17,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,18,0.22055532038211823,-0.0,0.0
celeba,iid,20,2025,5,19,0.22055532038211823,-0.0019252106547355651,0.0019252106547355651
celeba,iid,20,2025,6,0,0.21894694864749908,0.005558630824089051,0.005558630824089051
celeba,iid,20,2025,6,1,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,2,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,3,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,4,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,5,0.21894694864749908,-0.005010839800039927,0.005010839800039927
celeba,iid,20,2025,6,6,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,7,0.21894694864749908,-0.0008930588761965433,0.0008930588761965433
celeba,iid,20,2025,6,8,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,9,0.21894694864749908,0.008858279387156168,0.008858279387156168
celeba,iid,20,2025,6,10,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,11,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,12,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,13,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,14,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,15,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,16,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,17,0.21894694864749908,0.008290838698546093,0.008290838698546093
celeba,iid,20,2025,6,18,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,6,19,0.21894694864749908,-0.0,0.0
celeba,iid,20,2025,7,0,0.22028803825378418,0.008644993603229522,0.008644993603229522
celeba,iid,20,2025,7,1,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,2,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,3,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,4,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,5,0.22028803825378418,-0.006008397042751312,0.006008397042751312
celeba,iid,20,2025,7,6,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,7,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,8,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,9,0.22028803825378418,0.0007678041855494181,0.0007678041855494181
celeba,iid,20,2025,7,10,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,11,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,12,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,13,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,14,0.22028803825378418,0.010437605778376262,0.010437605778376262
celeba,iid,20,2025,7,15,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,16,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,17,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,7,18,0.22028803825378418,0.0029098654786745707,0.0029098654786745707
celeba,iid,20,2025,7,19,0.22028803825378418,-0.0,0.0
celeba,iid,20,2025,8,0,0.2159195840358734,0.0008088896671930949,0.0008088896671930949
celeba,iid,20,2025,8,1,0.2159195840358734,0.012196273108323415,0.012196273108323415
celeba,iid,20,2025,8,2,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,3,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,4,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,5,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,6,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,7,0.2159195840358734,-0.0002783099810282389,0.0002783099810282389
celeba,iid,20,2025,8,8,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,9,0.2159195840358734,0.0078042243917783105,0.0078042243917783105
celeba,iid,20,2025,8,10,0.2159195840358734,0.005673231681187948,0.005673231681187948
celeba,iid,20,2025,8,11,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,12,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,13,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,14,0.2159195840358734,0.0033885414401690164,0.0033885414401690164
celeba,iid,20,2025,8,15,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,16,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,17,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,18,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,8,19,0.2159195840358734,-0.0,0.0
celeba,iid,20,2025,9,0,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,1,0.22060927748680115,6.387432416280111e-05,6.387432416280111e-05
celeba,iid,20,2025,9,2,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,3,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,4,0.22060927748680115,-0.014854495227336884,0.014854495227336884
celeba,iid,20,2025,9,5,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,6,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,7,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,8,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,9,0.22060927748680115,-0.003578933576742808,0.003578933576742808
celeba,iid,20,2025,9,10,0.22060927748680115,0.010301967958609264,0.010301967958609264
celeba,iid,20,2025,9,11,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,12,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,13,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,14,0.22060927748680115,0.00975432147582372,0.00975432147582372
celeba,iid,20,2025,9,15,0.22060927748680115,-0.0007380997141202291,0.0007380997141202291
celeba,iid,20,2025,9,16,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,17,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,18,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,9,19,0.22060927748680115,-0.0,0.0
celeba,iid,20,2025,10,0,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,1,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,2,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,3,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,4,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,5,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,6,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,7,0.2104029804468155,-0.0011140922705332437,0.0011140922705332437
celeba,iid,20,2025,10,8,0.2104029804468155,0.0024806052446365357,0.0024806052446365357
celeba,iid,20,2025,10,9,0.2104029804468155,0.009722790122032166,0.009722790122032166
celeba,iid,20,2025,10,10,0.2104029804468155,0.011412339905897776,0.011412339905897776
celeba,iid,20,2025,10,11,0.2104029804468155,0.016471763451894123,0.016471763451894123
celeba,iid,20,2025,10,12,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,13,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,14,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,15,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,16,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,17,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,18,0.2104029804468155,-0.0,0.0
celeba,iid,20,2025,10,19,0.2104029804468155,0.001557570199171702,0.001557570199171702
