dataset,num_clients,seed,target_group,condition,eval_metric,value
imdbnoniid,4,42,fairness,BL,acc,0.8726
imdbnoniid,4,42,fairness,BL,loss,0.3051028549671173
imdbnoniid,4,42,fairness,BL,rel,0.7427159999999999
imdbnoniid,4,42,fairness,BL,res,0.41760256704102683
imdbnoniid,4,42,fairness,BL,fairDP,
imdbnoniid,4,42,fairness,BL,fairEO,
imdbnoniid,4,42,fairness,BL,priv,0.85766272
imdbnoniid,4,42,robustness,BL,acc,0.8726
imdbnoniid,4,42,robustness,BL,loss,0.3051028549671173
imdbnoniid,4,42,robustness,BL,rel,0.7427159999999999
imdbnoniid,4,42,robustness,BL,res,0.41760256704102683
imdbnoniid,4,42,robustness,BL,fairDP,
imdbnoniid,4,42,robustness,BL,fairEO,
imdbnoniid,4,42,robustness,BL,priv,0.85766272
imdbnoniid,4,42,privacy,BL,acc,0.8726
imdbnoniid,4,42,privacy,BL,loss,0.3051028549671173
imdbnoniid,4,42,privacy,BL,rel,0.7427159999999999
imdbnoniid,4,42,privacy,BL,res,0.41760256704102683
imdbnoniid,4,42,privacy,BL,fairDP,
imdbnoniid,4,42,privacy,BL,fairEO,
imdbnoniid,4,42,privacy,BL,priv,0.85766272
imdbnoniid,4,42,robustness,ST,acc,0.841
imdbnoniid,4,42,robustness,ST,loss,0.3684714734554291
imdbnoniid,4,42,robustness,ST,rel,0.741106
imdbnoniid,4,42,robustness,ST,res,0.4285374554102259
imdbnoniid,4,42,robustness,ST,fairDP,
imdbnoniid,4,42,robustness,ST,fairEO,
imdbnoniid,4,42,robustness,ST,priv,0.9548460799999998
imdbnoniid,4,42,robustness,DY,acc,0.8408
imdbnoniid,4,42,robustness,DY,loss,0.36518341302871704
imdbnoniid,4,42,robustness,DY,rel,0.742876
imdbnoniid,4,42,robustness,DY,res,0.4324452901998097
imdbnoniid,4,42,robustness,DY,fairDP,
imdbnoniid,4,42,robustness,DY,fairEO,
imdbnoniid,4,42,robustness,DY,priv,0.9080601599999998
imdbnoniid,4,42,privacy,ST,acc,0.841
imdbnoniid,4,42,privacy,ST,loss,0.3684714734554291
imdbnoniid,4,42,privacy,ST,rel,0.740158
imdbnoniid,4,42,privacy,ST,res,0.4285374554102259
imdbnoniid,4,42,privacy,ST,fairDP,
imdbnoniid,4,42,privacy,ST,fairEO,
imdbnoniid,4,42,privacy,ST,priv,0.9548460799999998
imdbnoniid,4,42,privacy,DY,acc,0.683
imdbnoniid,4,42,privacy,DY,loss,0.7602508664131165
imdbnoniid,4,42,privacy,DY,rel,0.817358
imdbnoniid,4,42,privacy,DY,res,0.6474377745241581
imdbnoniid,4,42,privacy,DY,fairDP,
imdbnoniid,4,42,privacy,DY,fairEO,
imdbnoniid,4,42,privacy,DY,priv,0.9369868799999999
imdbnoniid,4,107,fairness,BL,acc,0.875
imdbnoniid,4,107,fairness,BL,loss,0.30103105306625366
imdbnoniid,4,107,fairness,BL,rel,0.742074
imdbnoniid,4,107,fairness,BL,res,0.40594285714285716
imdbnoniid,4,107,fairness,BL,fairDP,
imdbnoniid,4,107,fairness,BL,fairEO,
imdbnoniid,4,107,fairness,BL,priv,0.8395455999999999
imdbnoniid,4,107,robustness,BL,acc,0.875
imdbnoniid,4,107,robustness,BL,loss,0.30103105306625366
imdbnoniid,4,107,robustness,BL,rel,0.742074
imdbnoniid,4,107,robustness,BL,res,0.40594285714285716
imdbnoniid,4,107,robustness,BL,fairDP,
imdbnoniid,4,107,robustness,BL,fairEO,
imdbnoniid,4,107,robustness,BL,priv,0.8395455999999999
imdbnoniid,4,107,privacy,BL,acc,0.875
imdbnoniid,4,107,privacy,BL,loss,0.30103105306625366
imdbnoniid,4,107,privacy,BL,rel,0.742074
imdbnoniid,4,107,privacy,BL,res,0.40594285714285716
imdbnoniid,4,107,privacy,BL,fairDP,
imdbnoniid,4,107,privacy,BL,fairEO,
imdbnoniid,4,107,privacy,BL,priv,0.8395455999999999
imdbnoniid,4,107,robustness,ST,acc,0.8634
imdbnoniid,4,107,robustness,ST,loss,0.32030972838401794
imdbnoniid,4,107,robustness,ST,rel,0.748562
imdbnoniid,4,107,robustness,ST,res,0.43015983321751217
imdbnoniid,4,107,robustness,ST,fairDP,
imdbnoniid,4,107,robustness,ST,fairEO,
imdbnoniid,4,107,robustness,ST,priv,0.86846464
imdbnoniid,4,107,robustness,DY,acc,0.854
imdbnoniid,4,107,robustness,DY,loss,0.33523374795913696
imdbnoniid,4,107,robustness,DY,rel,0.7430019999999999
imdbnoniid,4,107,robustness,DY,res,0.42107728337236533
imdbnoniid,4,107,robustness,DY,fairDP,
imdbnoniid,4,107,robustness,DY,fairEO,
imdbnoniid,4,107,robustness,DY,priv,0.94138368
imdbnoniid,4,107,privacy,ST,acc,0.8634
imdbnoniid,4,107,privacy,ST,loss,0.32030972838401794
imdbnoniid,4,107,privacy,ST,rel,0.747126
imdbnoniid,4,107,privacy,ST,res,0.43015983321751217
imdbnoniid,4,107,privacy,ST,fairDP,
imdbnoniid,4,107,privacy,ST,fairEO,
imdbnoniid,4,107,privacy,ST,priv,0.86846464
imdbnoniid,4,107,privacy,DY,acc,0.723
imdbnoniid,4,107,privacy,DY,loss,0.6912214756011963
imdbnoniid,4,107,privacy,DY,rel,0.796308
imdbnoniid,4,107,privacy,DY,res,0.6033195020746888
imdbnoniid,4,107,privacy,DY,fairDP,
imdbnoniid,4,107,privacy,DY,fairEO,
imdbnoniid,4,107,privacy,DY,priv,0.9291776
imdbnoniid,4,123,fairness,BL,acc,0.8734
imdbnoniid,4,123,fairness,BL,loss,0.3056325614452362
imdbnoniid,4,123,fairness,BL,rel,0.73758
imdbnoniid,4,123,fairness,BL,res,0.3991298374169911
imdbnoniid,4,123,fairness,BL,fairDP,
imdbnoniid,4,123,fairness,BL,fairEO,
imdbnoniid,4,123,fairness,BL,priv,0.83918592
imdbnoniid,4,123,robustness,BL,acc,0.8734
imdbnoniid,4,123,robustness,BL,loss,0.3056325614452362
imdbnoniid,4,123,robustness,BL,rel,0.73758
imdbnoniid,4,123,robustness,BL,res,0.3991298374169911
imdbnoniid,4,123,robustness,BL,fairDP,
imdbnoniid,4,123,robustness,BL,fairEO,
imdbnoniid,4,123,robustness,BL,priv,0.83918592
imdbnoniid,4,123,privacy,BL,acc,0.8734
imdbnoniid,4,123,privacy,BL,loss,0.3056325614452362
imdbnoniid,4,123,privacy,BL,rel,0.73758
imdbnoniid,4,123,privacy,BL,res,0.3991298374169911
imdbnoniid,4,123,privacy,BL,fairDP,
imdbnoniid,4,123,privacy,BL,fairEO,
imdbnoniid,4,123,privacy,BL,priv,0.83918592
imdbnoniid,4,123,robustness,ST,acc,0.8472
imdbnoniid,4,123,robustness,ST,loss,0.3474268913269043
imdbnoniid,4,123,robustness,ST,rel,0.73674
