dataset,partition,num_clients,seed,round,client_id,global_gtg_acc,gtg_acc_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_loss,gtg_loss_contribution,global_gtg_priv,gtg_priv_contribution,global_gtg_rob,gtg_rob_contribution,acc_contribution
imdb,noniid,4,42,1,0,0.7362,0.0,0.6107036131486009,0.2630227142949342,0.5012603402137756,-0.0,0.8911666666666667,0.0,0.790932,0.0961957333333333,0.0
imdb,noniid,4,42,1,1,0.7362,0.0,0.6107036131486009,0.0,0.5012603402137756,-0.0,0.8911666666666667,0.0,0.790932,0.0,0.0
imdb,noniid,4,42,1,2,0.7362,0.0,0.6107036131486009,0.0,0.5012603402137756,-0.0,0.8911666666666667,0.0255207407407407,0.790932,0.0,0.0
imdb,noniid,4,42,1,3,0.7362,0.0906466666666667,0.6107036131486009,0.0,0.5012603402137756,0.2333289086818695,0.8911666666666667,0.0,0.790932,0.0,0.0906466666666667
imdb,noniid,4,42,2,0,0.8096,0.0,0.5521245059288538,0.0,0.4028244614601135,-0.0,0.8145333333333333,0.0,0.779934,0.0,0.0
imdb,noniid,4,42,2,1,0.8096,0.0811933333333333,0.5521245059288538,0.0,0.4028244614601135,-0.0,0.8145333333333333,0.0,0.779934,0.0,0.0811933333333333
imdb,noniid,4,42,2,2,0.8096,0.0,0.5521245059288538,0.1363320232138448,0.4028244614601135,-0.0,0.8145333333333333,-0.0103259259259259,0.779934,0.0641487333333333,0.0
imdb,noniid,4,42,2,3,0.8096,0.0726999999999999,0.5521245059288538,0.0,0.4028244614601135,0.2067236870527267,0.8145333333333333,-0.0059062962962962,0.779934,0.0,0.0726999999999999
imdb,noniid,4,42,3,0,0.8396,0.0,0.5188184849928538,0.0,0.3576115667819977,-0.0,0.8418444444444444,0.0,0.771426,0.0,0.0
imdb,noniid,4,42,3,1,0.8396,0.0476333333333333,0.5188184849928538,0.0,0.3576115667819977,0.1581215331951777,0.8418444444444444,0.0,0.771426,0.0,0.0476333333333333
imdb,noniid,4,42,3,2,0.8396,0.0,0.5188184849928538,0.117775108302745,0.3576115667819977,-0.0,0.8418444444444444,0.0076329629629629,0.771426,0.0597353999999999,0.0
imdb,noniid,4,42,3,3,0.8396,0.05278,0.5188184849928538,0.0,0.3576115667819977,0.1530875782171885,0.8418444444444444,-0.0327337037037037,0.771426,0.0,0.05278
imdb,noniid,4,42,4,0,0.8494,0.0,0.5003531904874029,0.0,0.345229834318161,-0.0,0.878311111111111,0.0,0.765144,0.0,0.0
imdb,noniid,4,42,4,1,0.8494,0.0,0.5003531904874029,0.0,0.345229834318161,0.1986634284257888,0.878311111111111,0.0,0.765144,0.0,0.0
imdb,noniid,4,42,4,2,0.8494,0.0,0.5003531904874029,0.1510840247272337,0.345229834318161,-0.0,0.878311111111111,-0.0002222222222223,0.765144,0.0627733333333333,0.0
imdb,noniid,4,42,4,3,0.8494,0.05948,0.5003531904874029,0.0,0.345229834318161,0.1990195681651433,0.878311111111111,0.0,0.765144,0.0,0.05948
imdb,noniid,4,42,5,0,0.8516,0.0,0.4830906528886801,0.0,0.3407486379146576,-0.0,0.8351222222222221,0.0,0.763028,0.0,0.0
imdb,noniid,4,42,5,1,0.8516,0.0,0.4830906528886801,0.0,0.3407486379146576,-0.0,0.8351222222222221,0.0,0.763028,0.0,0.0
imdb,noniid,4,42,5,2,0.8516,0.0,0.4830906528886801,0.114760739044207,0.3407486379146576,-0.0,0.8351222222222221,-0.0002318518518518,0.763028,0.0507673333333332,0.0
imdb,noniid,4,42,5,3,0.8516,0.0304533333333333,0.4830906528886801,0.0,0.3407486379146576,0.0854356427987416,0.8351222222222221,0.0,0.763028,0.0,0.0304533333333333
imdb,noniid,4,42,6,0,0.855,0.0,0.4694736842105263,0.0,0.3355462551116943,-0.0,0.7475555555555555,0.0,0.758858,0.0,0.0
imdb,noniid,4,42,6,1,0.855,0.0,0.4694736842105263,0.0,0.3355462551116943,-0.0,0.7475555555555555,0.0,0.758858,0.0,0.0
imdb,noniid,4,42,6,2,0.855,0.0,0.4694736842105263,0.1207630731059955,0.3355462551116943,-0.0,0.7475555555555555,-0.0284048148148148,0.758858,0.0519253333333333,0.0
imdb,noniid,4,42,6,3,0.855,0.0424666666666666,0.4694736842105263,0.0,0.3355462551116943,0.1608437746763229,0.7475555555555555,0.0,0.758858,0.0,0.0424666666666666
imdb,noniid,4,42,7,0,0.862,0.0,0.4584686774941995,0.0,0.3268070816993713,-0.0,0.7931111111111113,0.0,0.755636,0.0,0.0
imdb,noniid,4,42,7,1,0.862,0.0,0.4584686774941995,0.0,0.3268070816993713,-0.0,0.7931111111111113,0.0,0.755636,0.0,0.0
imdb,noniid,4,42,7,2,0.862,0.0,0.4584686774941995,0.1045945723151401,0.3268070816993713,-0.0,0.7931111111111113,-0.0325377777777778,0.755636,0.0465306,0.0
imdb,noniid,4,42,7,3,0.862,0.03952,0.4584686774941995,0.0,0.3268070816993713,0.1073552330334981,0.7931111111111113,0.0,0.755636,0.0,0.03952
imdb,noniid,4,42,8,0,0.8648,0.0,0.4479648473635522,0.0,0.3192330300807953,-0.0,0.7482111111111112,0.0,0.752444,0.0,0.0
imdb,noniid,4,42,8,1,0.8648,0.0,0.4479648473635522,0.0,0.3192330300807953,-0.0,0.7482111111111112,0.0,0.752444,0.0,0.0
imdb,noniid,4,42,8,2,0.8648,0.0,0.4479648473635522,0.1576165975688922,0.3192330300807953,-0.0,0.7482111111111112,0.0112233333333333,0.752444,0.0631152,0.0
imdb,noniid,4,42,8,3,0.8648,0.03306,0.4479648473635522,0.0,0.3192330300807953,0.0951320707798004,0.7482111111111112,0.0,0.752444,0.0,0.03306
imdb,noniid,4,42,9,0,0.8684,0.0,0.4357438968217411,0.0,0.313292920589447,-0.0,0.7214222222222222,0.0,0.747722,0.0,0.0
imdb,noniid,4,42,9,1,0.8684,0.0,0.4357438968217411,0.0,0.313292920589447,-0.0,0.7214222222222222,0.0,0.747722,0.0,0.0
imdb,noniid,4,42,9,2,0.8684,0.0,0.4357438968217411,0.1489634657655815,0.313292920589447,-0.0,0.7214222222222222,-0.02102,0.747722,0.0611832666666666,0.0
imdb,noniid,4,42,9,3,0.8684,0.0391533333333333,0.4357438968217411,0.0,0.313292920589447,0.1602340579032898,0.7214222222222222,0.0,0.747722,0.0,0.0391533333333333
imdb,noniid,4,42,10,0,0.8726,0.0,0.4176025670410268,0.0,0.3051028549671173,-0.0,0.8136444444444444,0.0,0.742482,0.0,0.0
imdb,noniid,4,42,10,1,0.8726,0.0,0.4176025670410268,0.0,0.3051028549671173,-0.0,0.8136444444444444,0.0,0.742482,0.0,0.0
imdb,noniid,4,42,10,2,0.8726,0.0,0.4176025670410268,0.136835569804219,0.3051028549671173,-0.0,0.8136444444444444,0.0582703703703703,0.742482,0.0565497333333333,0.0
imdb,noniid,4,42,10,3,0.8726,0.0404066666666666,0.4176025670410268,0.0,0.3051028549671173,0.169019877910614,0.8136444444444444,0.0,0.742482,0.0,0.0404066666666666
imdb,noniid,4,107,1,0,0.7864,0.0,0.5595116988809766,0.0525111214283177,0.4660243093967438,-0.0,0.8583333333333334,-0.02404,0.78087,-0.0078542666666666,0.0
imdb,noniid,4,107,1,1,0.7864,0.1481866666666666,0.5595116988809766,0.0,0.4660243093967438,0.267765329281489,0.8583333333333334,0.0,0.78087,0.0,0.1481866666666666
imdb,noniid,4,107,1,2,0.7864,0.0,0.5595116988809766,0.0,0.4660243093967438,-0.0,0.8583333333333334,0.0,0.78087,0.0,0.0
imdb,noniid,4,107,1,3,0.7864,0.1088533333333333,0.5595116988809766,0.0,0.4660243093967438,0.190914304057757,0.8583333333333334,0.0,0.78087,0.0,0.1088533333333333
imdb,noniid,4,107,2,0,0.8042,0.0,0.5516040785874161,0.0,0.4121843874454498,-0.0,0.8534444444444444,0.0,0.777812,0.0,0.0
imdb,noniid,4,107,2,1,0.8042,0.06448,0.5516040785874161,0.0,0.4121843874454498,0.1922446608543396,0.8534444444444444,-0.0274855555555555,0.777812,0.0,0.06448
imdb,noniid,4,107,2,2,0.8042,0.0,0.5516040785874161,0.1564575096680614,0.4121843874454498,-0.0,0.8534444444444444,0.0551762962962963,0.777812,0.0663776666666666,0.0
imdb,noniid,4,107,2,3,0.8042,0.0619466666666666,0.5516040785874161,0.0,0.4121843874454498,0.129428165157636,0.8534444444444444,0.0,0.777812,0.0,0.0619466666666666
imdb,noniid,4,107,3,0,0.8486,0.0,0.5076596747584257,0.0,0.3418040871620178,-0.0,0.8526333333333334,0.0,0.76798,0.0,0.0
imdb,noniid,4,107,3,1,0.8486,0.0469733333333333,0.5076596747584257,0.0,0.3418040871620178,0.1382597088813781,0.8526333333333334,0.0,0.76798,0.0,0.0469733333333333
imdb,noniid,4,107,3,2,0.8486,0.0,0.5076596747584257,0.1001132658341091,0.3418040871620178,-0.0,0.8526333333333334,0.0321474074074073,0.76798,0.0377262,0.0
imdb,noniid,4,107,3,3,0.8486,0.0411333333333333,0.5076596747584257,0.0,0.3418040871620178,0.08101573685805,0.8526333333333334,-0.0358696296296297,0.76798,0.0,0.0411333333333333
imdb,noniid,4,107,4,0,0.8572,0.0,0.4918338777414839,0.0,0.3279969394207001,-0.0,0.7965555555555555,-0.0098525925925926,0.762572,0.0,0.0
imdb,noniid,4,107,4,1,0.8572,0.03368,0.4918338777414839,0.0,0.3279969394207001,0.0889643232027689,0.7965555555555555,-0.0338944444444445,0.762572,0.0,0.03368
imdb,noniid,4,107,4,2,0.8572,0.0,0.4918338777414839,0.0977059275025176,0.3279969394207001,-0.0,0.7965555555555555,0.0,0.762572,0.0353407333333333,0.0
imdb,noniid,4,107,4,3,0.8572,0.0344666666666666,0.4918338777414839,0.0,0.3279969394207001,0.0843802193800608,0.7965555555555555,0.0,0.762572,0.0,0.0344666666666666
imdb,noniid,4,107,5,0,0.8624,0.0,0.473330241187384,0.0,0.3233983516693115,-0.0,0.7119000000000002,0.0252014814814815,0.759518,0.0,0.0
imdb,noniid,4,107,5,1,0.8624,0.0267333333333333,0.473330241187384,0.0,0.3233983516693115,0.0791056623061498,0.7119000000000002,0.0,0.759518,0.0,0.0267333333333333
imdb,noniid,4,107,5,2,0.8624,0.0,0.473330241187384,0.0637967206468218,0.3233983516693115,-0.0,0.7119000000000002,0.0,0.759518,0.0257525333333333,0.0
imdb,noniid,4,107,5,3,0.8624,0.0335533333333333,0.473330241187384,0.0,0.3233983516693115,0.0937678654988606,0.7119000000000002,-0.0324559259259259,0.759518,0.0,0.0335533333333333
imdb,noniid,4,107,6,0,0.8654,0.0,0.4599029350589322,0.0,0.3183169364929199,-0.0,0.8348555555555555,0.0,0.756264,0.0,0.0
imdb,noniid,4,107,6,1,0.8654,0.0151199999999999,0.4599029350589322,0.0,0.3183169364929199,0.0439539124568303,0.8348555555555555,0.0,0.756264,0.0,0.0151199999999999
imdb,noniid,4,107,6,2,0.8654,0.0,0.4599029350589322,0.0748812531336503,0.3183169364929199,-0.0,0.8348555555555555,0.0128248148148148,0.756264,0.0275032666666666,0.0
imdb,noniid,4,107,6,3,0.8654,0.0166599999999999,0.4599029350589322,0.0,0.3183169364929199,0.0348575949668884,0.8348555555555555,0.0,0.756264,0.0,0.0166599999999999
imdb,noniid,4,107,7,0,0.8698,0.0,0.4483789376868246,0.0,0.3129798769950866,-0.0,0.9214444444444444,0.0,0.750928,0.0,0.0
imdb,noniid,4,107,7,1,0.8698,0.0214266666666666,0.4483789376868246,0.0,0.3129798769950866,0.07111643354098,0.9214444444444444,0.0,0.750928,0.0,0.0214266666666666
imdb,noniid,4,107,7,2,0.8698,0.0,0.4483789376868246,0.0870624657693085,0.3129798769950866,-0.0,0.9214444444444444,0.0911477777777777,0.750928,0.0320022,0.0
imdb,noniid,4,107,7,3,0.8698,0.0282466666666666,0.4483789376868246,0.0,0.3129798769950866,0.0622336566448211,0.9214444444444444,0.0,0.750928,0.0,0.0282466666666666
imdb,noniid,4,107,8,0,0.8716,0.0,0.4339146397430014,0.0,0.310233324766159,-0.0,0.844211111111111,0.0,0.749622,0.0,0.0
imdb,noniid,4,107,8,1,0.8716,0.0172133333333333,0.4339146397430014,0.0,0.310233324766159,0.0625836610794067,0.844211111111111,0.0,0.749622,0.0,0.0172133333333333
imdb,noniid,4,107,8,2,0.8716,0.0,0.4339146397430014,0.0679731111951167,0.310233324766159,-0.0,0.844211111111111,0.0302911111111112,0.749622,0.0272544666666666,0.0
imdb,noniid,4,107,8,3,0.8716,0.02782,0.4339146397430014,0.0,0.310233324766159,0.0770067363977432,0.844211111111111,0.0,0.749622,0.0,0.02782
imdb,noniid,4,107,9,0,0.872,0.0,0.4194954128440367,0.0,0.304695725440979,-0.0,0.7505111111111109,0.0,0.746302,0.0,0.0
imdb,noniid,4,107,9,1,0.872,0.0262266666666666,0.4194954128440367,0.0,0.304695725440979,0.0941305190324783,0.7505111111111109,0.0,0.746302,0.0,0.0262266666666666
imdb,noniid,4,107,9,2,0.872,0.0,0.4194954128440367,0.0838063872913028,0.304695725440979,-0.0,0.7505111111111109,0.0115633333333333,0.746302,0.0298206666666666,0.0
imdb,noniid,4,107,9,3,0.872,0.0273599999999999,0.4194954128440367,0.0,0.304695725440979,0.0677154958248138,0.7505111111111109,0.0,0.746302,0.0,0.0273599999999999
imdb,noniid,4,107,10,0,0.875,0.0,0.4059428571428571,0.0,0.3010310530662536,-0.0,0.7798888888888889,-0.0211081481481481,0.741892,0.0,0.0
imdb,noniid,4,107,10,1,0.875,0.0256866666666667,0.4059428571428571,0.0,0.3010310530662536,0.0823308229446411,0.7798888888888889,-0.0079129629629629,0.741892,0.0,0.0256866666666667
imdb,noniid,4,107,10,2,0.875,0.0,0.4059428571428571,0.0959124021995683,0.3010310530662536,-0.0,0.7798888888888889,0.0,0.741892,0.0316326666666666,0.0
imdb,noniid,4,107,10,3,0.875,0.03244,0.4059428571428571,0.0,0.3010310530662536,0.0993132730325063,0.7798888888888889,0.0,0.741892,0.0,0.03244
imdb,noniid,4,123,1,0,0.7682,0.0,0.5946368133298621,0.1972416467059627,0.4765021502971649,-0.0,0.8732666666666666,0.0,0.790656,-0.0043571333333333,0.0
imdb,noniid,4,123,1,1,0.7682,0.0,0.5946368133298621,0.0,0.4765021502971649,-0.0,0.8732666666666666,0.0,0.790656,0.0,0.0
imdb,noniid,4,123,1,2,0.7682,0.0,0.5946368133298621,0.0,0.4765021502971649,-0.0,0.8732666666666666,-0.029142962962963,0.790656,0.0,0.0
imdb,noniid,4,123,1,3,0.7682,0.1065866666666666,0.5946368133298621,0.0,0.4765021502971649,0.1691433111826578,0.8732666666666666,0.0,0.790656,0.0,0.1065866666666666
imdb,noniid,4,123,2,0,0.82,0.0,0.552439024390244,0.0,0.3934274315834045,-0.0,0.8459333333333334,0.0,0.77978,0.0,0.0
imdb,noniid,4,123,2,1,0.82,0.0786733333333333,0.552439024390244,0.0,0.3934274315834045,0.2069103608528773,0.8459333333333334,0.0,0.77978,0.0,0.0786733333333333
imdb,noniid,4,123,2,2,0.82,0.0,0.552439024390244,0.1520380008178416,0.3934274315834045,-0.0,0.8459333333333334,0.0025155555555555,0.77978,0.0702117333333333,0.0
imdb,noniid,4,123,2,3,0.82,0.06652,0.552439024390244,0.0,0.3934274315834045,0.2101974040269851,0.8459333333333334,0.0,0.77978,0.0,0.06652
imdb,noniid,4,123,3,0,0.8428,0.0,0.5230185097294732,0.0,0.3563927412033081,-0.0,0.8987777777777777,0.0,0.771158,0.0,0.0
imdb,noniid,4,123,3,1,0.8428,0.0561933333333333,0.5230185097294732,0.0,0.3563927412033081,0.2240645170211792,0.8987777777777777,0.0,0.771158,0.0,0.0561933333333333
imdb,noniid,4,123,3,2,0.8428,0.0,0.5230185097294732,0.1715850666189919,0.3563927412033081,-0.0,0.8987777777777777,0.0,0.771158,0.0750062666666666,0.0
imdb,noniid,4,123,3,3,0.8428,0.05038,0.5230185097294732,0.0,0.3563927412033081,0.1930718749761581,0.8987777777777777,0.0,0.771158,0.0,0.05038
imdb,noniid,4,123,4,0,0.8492,0.0,0.5007065473386717,0.0,0.3461076021194458,-0.0,0.8288888888888888,0.0,0.7670520000000001,0.0,0.0
imdb,noniid,4,123,4,1,0.8492,0.0,0.5007065473386717,0.0,0.3461076021194458,0.254131872455279,0.8288888888888888,0.0,0.7670520000000001,0.0,0.0
imdb,noniid,4,123,4,2,0.8492,0.0,0.5007065473386717,0.1258252514676024,0.3461076021194458,-0.0,0.8288888888888888,0.0249307407407406,0.7670520000000001,0.0592796666666666,0.0
imdb,noniid,4,123,4,3,0.8492,0.0487,0.5007065473386717,0.0,0.3461076021194458,0.1849312524000803,0.8288888888888888,0.0,0.7670520000000001,0.0,0.0487
imdb,noniid,4,123,5,0,0.8548,0.0,0.4829199812821713,0.0,0.335629940032959,-0.0,0.838111111111111,0.0,0.762214,0.0,0.0
imdb,noniid,4,123,5,1,0.8548,0.0,0.4829199812821713,0.0,0.335629940032959,0.1650238802035649,0.838111111111111,0.0,0.762214,0.0,0.0
imdb,noniid,4,123,5,2,0.8548,0.0,0.4829199812821713,0.1517575322028267,0.335629940032959,-0.0,0.838111111111111,0.0070962962962962,0.762214,0.0662171999999999,0.0
imdb,noniid,4,123,5,3,0.8548,0.0475533333333333,0.4829199812821713,0.0,0.335629940032959,0.3121443212032318,0.838111111111111,-0.0185062962962963,0.762214,0.0,0.0475533333333333
imdb,noniid,4,123,6,0,0.8622,0.0,0.464857341684064,0.0,0.326075792312622,-0.0,0.8353777777777778,0.0,0.75703,0.0,0.0
imdb,noniid,4,123,6,1,0.8622,0.0,0.464857341684064,0.0,0.326075792312622,0.3558141261339188,0.8353777777777778,0.0,0.75703,0.0,0.0
imdb,noniid,4,123,6,2,0.8622,0.0,0.464857341684064,0.1069115081168354,0.326075792312622,-0.0,0.8353777777777778,0.0054729629629628,0.75703,0.0526017333333333,0.0
imdb,noniid,4,123,6,3,0.8622,0.0418266666666666,0.464857341684064,0.0,0.326075792312622,0.1366931945085525,0.8353777777777778,-0.0113448148148148,0.75703,0.0,0.0418266666666666
imdb,noniid,4,123,7,0,0.8668,0.0,0.4513151822796493,0.0,0.3177662491798401,-0.0,0.8152666666666666,0.0,0.751614,0.0,0.0
imdb,noniid,4,123,7,1,0.8668,0.0392,0.4513151822796493,0.0,0.3177662491798401,0.2442097802956899,0.8152666666666666,0.0,0.751614,0.0,0.0392
imdb,noniid,4,123,7,2,0.8668,0.0,0.4513151822796493,0.147552837318884,0.3177662491798401,-0.0,0.8152666666666666,0.056028148148148,0.751614,0.0638355999999999,0.0
imdb,noniid,4,123,7,3,0.8668,0.0482266666666666,0.4513151822796493,0.0,0.3177662491798401,0.1955235679944356,0.8152666666666666,0.0,0.751614,0.0,0.0482266666666666
imdb,noniid,4,123,8,0,0.866,0.0,0.4397228637413395,0.0,0.3186392188072204,-0.0,0.8293333333333333,0.0,0.7489399999999999,0.0,0.0
imdb,noniid,4,123,8,1,0.866,0.0383333333333333,0.4397228637413395,0.0,0.3186392188072204,0.2962175726890564,0.8293333333333333,0.0,0.7489399999999999,0.0,0.0383333333333333
imdb,noniid,4,123,8,2,0.866,0.0,0.4397228637413395,0.1367234889797026,0.3186392188072204,-0.0,0.8293333333333333,0.0448077777777778,0.7489399999999999,0.0617053999999999,0.0
imdb,noniid,4,123,8,3,0.866,0.04018,0.4397228637413395,0.0,0.3186392188072204,0.0930247515439987,0.8293333333333333,0.0,0.7489399999999999,0.0,0.04018
imdb,noniid,4,123,9,0,0.8696,0.0,0.4250229990800368,0.0,0.3132537007331848,-0.0,0.6740222222222223,0.0,0.7444200000000001,0.0,0.0
