dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,l1o_loss_contribution,l1o_acc_contribution,global_l1o_loss,global_l1o_acc,acc_contribution
adult,iid,20,42,1,0,0.9820053229603848,-9.315180673563628e-05,0.8453732785697028,0.0032616574051702,0.7809087776300891,0.0010651869668263,0.8639471630420856,5.824179664326579e-06,,0.8440760549471056,0.0047733060737675,0.0047733060737675,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.0002593398094177,-0.0,0.3212402164936065,0.8473743474255298,-0.0
adult,iid,20,42,1,1,0.9820053229603848,0.0005804074111986,0.8453732785697028,0.0084141294278125,0.7809087776300891,0.0083397683397683,0.8639471630420856,0.015276823259444,,0.8440760549471056,0.0097099528806882,0.0097099528806882,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.0007612407207489,0.0004094584911454,0.3212402164936065,0.8473743474255298,0.0004094584911454
adult,iid,20,42,1,2,0.9820053229603848,3.070938683591429e-05,0.8453732785697028,-0.0009755446047088,0.7809087776300891,-0.0024869365852971,0.8639471630420856,0.0272047432119186,,0.8440760549471056,-0.0047033534555609,0.0047033534555609,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-0.0004889965057373,-0.0007165523595045,0.3212402164936065,0.8473743474255298,-0.0007165523595045
adult,iid,20,42,1,3,0.9820053229603848,-0.0007963967652778,0.8453732785697028,-0.0006691924727681,0.7809087776300891,-0.0026519728159071,0.8639471630420856,-0.0003145057018716,,0.8440760549471056,-0.0009088973381647,0.0009088973381647,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-0.0001955926418304,-0.0010236462278636,0.3212402164936065,0.8473743474255298,-0.0010236462278636
adult,iid,20,42,1,4,0.9820053229603848,-0.000630566076364,0.8453732785697028,-0.0050906327449133,0.7809087776300891,-0.0043508145147488,0.8639471630420856,0.0040186839683631,,0.8440760549471056,-0.0035503780268759,0.0035503780268759,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-0.0006796717643737,-0.0021496570785136,0.3212402164936065,0.8473743474255298,-0.0021496570785136
adult,iid,20,42,1,5,0.9820053229603848,0.0003111884532706,0.8453732785697028,-4.7259622646622645e-05,0.7809087776300891,0.0010598889287414,0.8639471630420856,0.0237510046709921,,0.8440760549471056,0.0023071616790499,0.0023071616790499,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-6.16610050201416e-05,-0.0009212816050773,0.3212402164936065,0.8473743474255298,-0.0009212816050773
adult,iid,20,42,1,6,0.9820053229603848,-0.0002743371890674,0.8453732785697028,0.0001854993159894,0.7809087776300891,0.0010492928525716,0.8639471630420856,0.0158534170462092,,0.8440760549471056,0.0027336015595169,0.0027336015595169,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.0004613697528839,-0.000307093868359,0.3212402164936065,0.8473743474255298,-0.000307093868359
adult,iid,20,42,1,7,0.9820053229603848,-0.0002016583068891,0.8453732785697028,-0.0026025522460071,0.7809087776300891,-0.0004421283109807,0.8639471630420856,-0.0064124218103878,,0.8440760549471056,-0.0039818312306088,0.0039818312306088,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.0002671182155609,0.0003070938683591,0.3212402164936065,0.8473743474255298,0.0003070938683591
adult,iid,20,42,1,8,0.9820053229603848,0.0004258368307913,0.8453732785697028,0.004919501113753,0.7809087776300891,0.0025883963588881,0.8639471630420856,0.0227084765110836,,0.8440760549471056,0.0061253461528048,0.0061253461528048,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.0001669526100158,-0.0008189169822908,0.3212402164936065,0.8473743474255298,-0.0008189169822908
adult,iid,20,42,1,9,0.9820053229603848,-0.0007871839492271,0.8453732785697028,-0.0001394645152108,0.7809087776300891,0.0007510086198611,0.8639471630420856,0.006884180363196,,0.8440760549471056,-0.0001057329578662,0.0001057329578662,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-1.475214958190918e-05,-0.0001023646227863,0.3212402164936065,0.8473743474255298,-0.0001023646227863
adult,iid,20,42,1,10,0.9820053229603848,-0.0001412631794451,0.8453732785697028,0.0042800387583592,0.7809087776300891,0.0055757396741003,0.8639471630420856,0.0234889165860989,,0.8440760549471056,0.0039535121857385,0.0039535121857385,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.000134915113449,0.0009212816050773,0.3212402164936065,0.8473743474255298,0.0009212816050773
adult,iid,20,42,1,11,0.9820053229603848,-0.0003654417033472,0.8453732785697028,0.0002416042522348,0.7809087776300891,0.0010969751953358,0.8639471630420856,-0.0176560006523081,,0.8440760549471056,-0.0007416945749558,0.0007416945749558,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.000256210565567,-0.0,0.3212402164936065,0.8473743474255298,-0.0
adult,iid,20,42,1,12,0.9820053229603848,2.3543863240882423e-05,0.8453732785697028,-0.0014116170751277,0.7809087776300891,-0.0003141783469652,0.8639471630420856,0.0094176985171638,,0.8440760549471056,-0.0026853945591551,0.0026853945591551,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,0.000156819820404,-0.00112601085065,0.3212402164936065,0.8473743474255298,-0.00112601085065
adult,iid,20,42,1,13,0.9820053229603848,-0.0001965400757497,0.8453732785697028,0.0001668067030039,0.7809087776300891,-0.002332496430857,0.8639471630420856,0.019411990821093,,0.8440760549471056,-0.0004385219580644,0.0004385219580644,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-0.0005443096160888,-0.0004094584911454,0.3212402164936065,0.8473743474255298,-0.0004094584911454
adult,iid,20,42,1,14,0.9820053229603848,-0.0003040229296754,0.8453732785697028,0.0008805773994772,0.7809087776300891,0.0003141783469652,0.8639471630420856,-0.0024461554590033,,0.8440760549471056,4.626752022640624e-05,4.626752022640624e-05,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-0.0002488791942596,-0.00112601085065,0.3212402164936065,0.8473743474255298,-0.00112601085065
adult,iid,20,42,1,15,0.9820053229603848,8.291534445692417e-05,0.8453732785697028,0.0053877923578015,0.7809087776300891,0.0035468255140386,0.8639471630420856,0.0027082435438967,,0.8440760549471056,0.0046652627244974,0.0046652627244974,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,-9.53972339630127e-05,0.0010236462278636,0.3212402164936065,0.8473743474255298,0.0010236462278636
adult,iid,20,42,1,16,0.9820053229603848,-0.0001729962125089,0.8453732785697028,0.0051458958894898,0.7809087776300891,0.0037171597827336,0.8639471630420856,-0.0189518806276134,,0.8440760549471056,0.0042465986276282,0.0042465986276282,0.8473743474255298,0.6846413095811267,0.6297608503100088,0.6560553633217993,0.3212402164936065,4.202127456665039e-05,0.0010236462278636,0.3212402164936065,0.8473743474255298,0.0010236462278636
