dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,noniid,4,42,1,0,0.7362,0.2159999999999999,0.6107036131486009,-0.357385583314298,0.5012603402137756,0.3826795220375061,0.8911666666666667,-0.0644555555555554,0.7906299999999999,-0.1554620000000001,0.2159999999999999
imdb,noniid,4,42,1,1,0.7362,0.1677999999999999,0.6107036131486009,-0.2471429737620254,0.5012603402137756,0.1201186776161193,0.8911666666666667,-0.0455888888888886,0.7906299999999999,-0.09882,0.1677999999999999
imdb,noniid,4,42,1,2,0.7362,0.1672,0.6107036131486009,-0.2409659826334729,0.5012603402137756,0.2093916535377502,0.8911666666666667,-0.0127777777777777,0.7906299999999999,-0.117738,0.1672
imdb,noniid,4,42,1,3,0.7362,-0.1149999999999999,0.6107036131486009,0.1656848161561196,0.5012603402137756,0.0185478329658508,0.8911666666666667,-0.0220777777777778,0.7906299999999999,0.0516079999999998,-0.1149999999999999
imdb,noniid,4,42,2,0,0.8096,0.1203999999999999,0.5521245059288538,-0.1309863472342338,0.4028244614601135,0.2343045473098755,0.8145333333333333,-0.0740888888888888,0.778568,-0.0414499999999999,0.1203999999999999
imdb,noniid,4,42,2,1,0.8096,0.0577999999999999,0.5521245059288538,-0.0663910567207871,0.4028244614601135,0.0836600959300994,0.8145333333333333,-0.0036888888888888,0.778568,-0.0210159999999999,0.0577999999999999
imdb,noniid,4,42,2,2,0.8096,0.0093999999999999,0.5521245059288538,-0.0202324048434531,0.4028244614601135,0.0234135389328002,0.8145333333333333,-0.0782888888888888,0.778568,-0.0066379999999999,0.0093999999999999
imdb,noniid,4,42,2,3,0.8096,0.0033999999999999,0.5521245059288538,-0.0050573348054553,0.4028244614601135,0.0065245032310485,0.8145333333333333,-0.0060222222222221,0.778568,-0.0007979999999999,0.0033999999999999
imdb,noniid,4,42,3,0,0.8396,0.0767999999999999,0.5188184849928538,-0.0758327997475761,0.3576115667819977,0.1498509347438812,0.8418444444444444,-0.0366333333333332,0.770892,-0.0209,0.0767999999999999
imdb,noniid,4,42,3,1,0.8396,0.033,0.5188184849928538,-0.0284168237103448,0.3576115667819977,0.0571975111961364,0.8418444444444444,-0.0229111111111111,0.770892,-0.0104539999999999,0.033
imdb,noniid,4,42,3,2,0.8396,0.0121999999999999,0.5188184849928538,-0.0178022546735712,0.3576115667819977,0.0238984823226928,0.8418444444444444,-0.0083777777777778,0.770892,-0.002116,0.0121999999999999
imdb,noniid,4,42,3,3,0.8396,0.0,0.5188184849928538,-0.0030967127203429,0.3576115667819977,-0.0012740492820739,0.8418444444444444,0.0203555555555554,0.770892,0.000518,0.0
imdb,noniid,4,42,4,0,0.8494,0.071,0.5003531904874029,-0.0667074467171191,0.345229834318161,0.1385518610477447,0.878311111111111,-0.0089555555555556,0.76492,-0.0197239999999999,0.071
imdb,noniid,4,42,4,1,0.8494,0.0248,0.5003531904874029,-0.0201415948630701,0.345229834318161,0.0483614206314086,0.878311111111111,-0.0067888888888887,0.76492,-0.0099319999999999,0.0248
imdb,noniid,4,42,4,2,0.8494,0.0171999999999999,0.5003531904874029,-0.019954427873568,0.345229834318161,0.0297347605228424,0.878311111111111,-0.0059444444444445,0.76492,-0.0054739999999999,0.0171999999999999
imdb,noniid,4,42,4,3,0.8494,-0.0015999999999999,0.5003531904874029,0.0009407345532078,0.345229834318161,-0.0037144124507904,0.878311111111111,0.0141333333333333,0.76492,-0.0003579999999999,-0.0015999999999999
imdb,noniid,4,42,5,0,0.8516,0.0707999999999999,0.4830906528886801,-0.0712126257998444,0.3407486379146576,0.1426719725131988,0.8351222222222221,-0.0769222222222223,0.76256,-0.017676,0.0707999999999999
imdb,noniid,4,42,5,1,0.8516,0.022,0.4830906528886801,-0.0234185081527856,0.3407486379146576,0.0401264131069183,0.8351222222222221,-0.0065111111111111,0.76256,-0.007572,0.022
imdb,noniid,4,42,5,2,0.8516,0.016,0.4830906528886801,-0.0262439569724974,0.3407486379146576,0.0320185422897338,0.8351222222222221,-0.0670111111111113,0.76256,-0.0026,0.016
imdb,noniid,4,42,5,3,0.8516,-0.0008,0.4830906528886801,-0.0033007126673968,0.3407486379146576,-0.0031740069389343,0.8351222222222221,-0.0436333333333334,0.76256,0.000446,-0.0008
imdb,noniid,4,42,6,0,0.855,0.0707999999999999,0.4694736842105263,-0.074520194901945,0.3355462551116943,0.1413470208644867,0.7475555555555555,-0.1131999999999999,0.75939,-0.0179819999999999,0.0707999999999999
imdb,noniid,4,42,6,1,0.855,0.02,0.4694736842105263,-0.0246580523164197,0.3355462551116943,0.0395235419273376,0.7475555555555555,-0.0658222222222222,0.75939,-0.0062339999999999,0.02
imdb,noniid,4,42,6,2,0.855,0.0193999999999999,0.4694736842105263,-0.0305263157894736,0.3355462551116943,0.0361228585243225,0.7475555555555555,-0.1202444444444443,0.75939,-0.002974,0.0193999999999999
imdb,noniid,4,42,6,3,0.855,0.0005999999999999,0.4694736842105263,-0.0038409225310467,0.3355462551116943,-0.0013348162174224,0.7475555555555555,0.0003333333333332,0.75939,0.00092,0.0005999999999999
