dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
celeba,iid,4,42,1,0,,,0.6111634479510127,0.0006747709545883,,,,,,,0.8665111111111112,0.045511111111111,0.801086,0.0043459999999999,
celeba,iid,4,42,1,1,,,0.6111634479510127,0.0365867836039934,,,,,,,0.8665111111111112,0.0428888888888889,0.801086,-0.0344580000000001,
celeba,iid,4,42,1,2,,,0.6111634479510127,0.0568255484076337,,,,,,,0.8665111111111112,0.0339777777777776,0.801086,0.017428,
celeba,iid,4,42,1,3,,,0.6111634479510127,0.0176196213723133,,,,,,,0.8665111111111112,0.0244666666666668,0.801086,-0.033192,
celeba,iid,4,42,2,0,,,0.5601224311324879,0.0376136898737466,,,,,,,0.7644222222222223,-0.0107333333333332,0.7883439999999999,0.0423259999999998,
celeba,iid,4,42,2,1,,,0.5601224311324879,0.024251914947011,,,,,,,0.7644222222222223,-0.0765555555555554,0.7883439999999999,0.0035779999999999,
celeba,iid,4,42,2,2,,,0.5601224311324879,0.0224504503506578,,,,,,,0.7644222222222223,0.0290555555555558,0.7883439999999999,0.0123979999999999,
celeba,iid,4,42,2,3,,,0.5601224311324879,0.0311623609262571,,,,,,,0.7644222222222223,-0.0174444444444443,0.7883439999999999,-0.004812,
celeba,iid,4,42,3,0,,,0.5587592835299258,0.018212835442494,,,,,,,0.7227777777777775,-0.0357555555555557,0.790862,0.0053219999999999,
celeba,iid,4,42,3,1,,,0.5587592835299258,0.0347313237221493,,,,,,,0.7227777777777775,-0.0910888888888892,0.790862,-0.022812,
celeba,iid,4,42,3,2,,,0.5587592835299258,0.016729666805187,,,,,,,0.7227777777777775,0.020922222222222,0.790862,0.0397999999999999,
celeba,iid,4,42,3,3,,,0.5587592835299258,0.0337319611255542,,,,,,,0.7227777777777775,-0.0761777777777781,0.790862,0.0262419999999999,
celeba,iid,4,42,4,0,,,0.5897212543554007,0.0366595851464226,,,,,,,0.8412333333333333,0.0359888888888888,0.78662,0.0412019999999999,
celeba,iid,4,42,4,1,,,0.5897212543554007,0.0232724526124812,,,,,,,0.8412333333333333,0.1319666666666668,0.78662,-0.019356,
celeba,iid,4,42,4,2,,,0.5897212543554007,0.0410814284576857,,,,,,,0.8412333333333333,0.0450333333333332,0.78662,0.0815139999999999,
celeba,iid,4,42,4,3,,,0.5897212543554007,0.0083107188743384,,,,,,,0.8412333333333333,0.0736777777777777,0.78662,-0.040382,
celeba,iid,4,42,5,0,,,0.492595818815331,0.0291279889352873,,,,,,,0.6704666666666665,-0.0572666666666668,0.721082,0.008896,
celeba,iid,4,42,5,1,,,0.492595818815331,0.0235383073349023,,,,,,,0.6704666666666665,-0.0572222222222225,0.721082,-0.0291259999999999,
celeba,iid,4,42,5,2,,,0.492595818815331,0.0323236502464109,,,,,,,0.6704666666666665,-0.1091888888888887,0.721082,0.025976,
celeba,iid,4,42,5,3,,,0.492595818815331,0.0192683155359256,,,,,,,0.6704666666666665,-0.0711555555555556,0.721082,-0.000272,
celeba,iid,4,42,6,0,,,0.5453559027777778,0.0349256550593944,,,,,,,0.7023555555555554,-0.0142000000000002,0.796704,0.0110679999999999,
celeba,iid,4,42,6,1,,,0.5453559027777778,0.0167502904218935,,,,,,,0.7023555555555554,0.0014444444444441,0.796704,-0.03038,
celeba,iid,4,42,6,2,,,0.5453559027777778,0.0319776125885239,,,,,,,0.7023555555555554,0.0483111111111107,0.796704,0.0433659999999999,
celeba,iid,4,42,6,3,,,0.5453559027777778,0.0045684326885891,,,,,,,0.7023555555555554,-0.0126444444444444,0.796704,-0.00464,
celeba,iid,4,42,7,0,,,0.5516941789748044,0.0283195323124865,,,,,,,0.8025333333333333,-0.0193777777777777,0.863804,0.024278,
celeba,iid,4,42,7,1,,,0.5516941789748044,0.0183753163744138,,,,,,,0.8025333333333333,0.0271333333333334,0.863804,-0.0247579999999999,
celeba,iid,4,42,7,2,,,0.5516941789748044,0.0308517994698109,,,,,,,0.8025333333333333,0.0481777777777776,0.863804,0.03039,
celeba,iid,4,42,7,3,,,0.5516941789748044,0.0322249599188984,,,,,,,0.8025333333333333,-0.0575555555555555,0.863804,0.016754,
celeba,iid,4,42,8,0,,,0.4354452427607228,0.0843418999597614,,,,,,,0.6984444444444442,-0.0356666666666669,0.718764,0.0789899999999999,
celeba,iid,4,42,8,1,,,0.4354452427607228,-0.0037012845634661,,,,,,,0.6984444444444442,0.0134444444444441,0.718764,-0.036038,
celeba,iid,4,42,8,2,,,0.4354452427607228,0.0518207886122512,,,,,,,0.6984444444444442,0.0121333333333331,0.718764,-0.02492,
celeba,iid,4,42,8,3,,,0.4354452427607228,0.0105544130663997,,,,,,,0.6984444444444442,-0.0209555555555558,0.718764,0.0044599999999999,
celeba,iid,4,42,9,0,,,0.4250108365843086,0.0432401165495033,,,,,,,0.7836666666666665,0.0460888888888888,0.76908,0.024766,
celeba,iid,4,42,9,1,,,0.4250108365843086,0.0298983798369038,,,,,,,0.7836666666666665,-0.0648777777777778,0.76908,0.0011039999999999,
celeba,iid,4,42,9,2,,,0.4250108365843086,0.0235367416352515,,,,,,,0.7836666666666665,0.059711111111111,0.76908,-0.0057139999999999,
celeba,iid,4,42,9,3,,,0.4250108365843086,0.0328923954782777,,,,,,,0.7836666666666665,-0.0007444444444446,0.76908,0.00787,
celeba,iid,4,42,10,0,,,0.4765726681127983,0.0286039520580514,,,,,,,0.8944000000000001,0.0244444444444444,0.793388,0.0488239999999999,
celeba,iid,4,42,10,1,,,0.4765726681127983,0.0184648525683081,,,,,,,0.8944000000000001,0.1169222222222223,0.793388,-0.0270839999999999,
celeba,iid,4,42,10,2,,,0.4765726681127983,0.0483113266758544,,,,,,,0.8944000000000001,0.0559333333333333,0.793388,-0.00941,
celeba,iid,4,42,10,3,,,0.4765726681127983,0.0364425162689805,,,,,,,0.8944000000000001,0.0327444444444444,0.793388,0.004908,
celeba,iid,4,107,1,0,,,0.6321269211700545,0.0553948332059969,,,,,,,0.8291999999999999,-0.0198222222222221,0.833174,-0.012782,
celeba,iid,4,107,1,1,,,0.6321269211700545,0.016258512848816,,,,,,,0.8291999999999999,-0.0073333333333334,0.833174,-0.0393219999999999,
celeba,iid,4,107,1,2,,,0.6321269211700545,-0.0124652547440339,,,,,,,0.8291999999999999,0.0114666666666665,0.833174,0.0292919999999999,
celeba,iid,4,107,1,3,,,0.6321269211700545,0.000508351533919,,,,,,,0.8291999999999999,0.0168111111111111,0.833174,0.0164019999999999,
celeba,iid,4,107,2,0,,,0.581634889327197,-0.004496337357025,,,,,,,0.8125222222222221,0.0101888888888888,0.90407,0.033526,
celeba,iid,4,107,2,1,,,0.581634889327197,0.0363597303708277,,,,,,,0.8125222222222221,0.077711111111111,0.90407,-0.0063599999999999,
celeba,iid,4,107,2,2,,,0.581634889327197,0.0200120823096531,,,,,,,0.8125222222222221,0.071411111111111,0.90407,-0.0024859999999999,
celeba,iid,4,107,2,3,,,0.581634889327197,0.0144707102227192,,,,,,,0.8125222222222221,0.0288777777777775,0.90407,0.015836,
celeba,iid,4,107,3,0,,,0.5373759647188534,0.0137332326698166,,,,,,,0.8377777777777777,0.0511555555555556,0.85519,0.043,
celeba,iid,4,107,3,1,,,0.5373759647188534,0.0242764975785336,,,,,,,0.8377777777777777,0.0806,0.85519,-0.006352,
celeba,iid,4,107,3,2,,,0.5373759647188534,0.0488905794221306,,,,,,,0.8377777777777777,-0.0434777777777777,0.85519,0.0383019999999999,
celeba,iid,4,107,3,3,,,0.5373759647188534,0.0172432213560215,,,,,,,0.8377777777777777,-0.0313333333333334,0.85519,-0.04583,
celeba,iid,4,107,4,0,,,0.5762859633827375,0.0190373782717231,,,,,,,0.8250222222222221,0.1023333333333331,0.840666,0.0161,
celeba,iid,4,107,4,1,,,0.5762859633827375,0.0127921711806029,,,,,,,0.8250222222222221,0.0438444444444443,0.840666,-0.0013159999999999,
