dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
adult,noniid,20,42,1,0,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,1,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,0.048918473129054,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,2,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,3,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0742020850828419,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,4,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0128661422024621,0.0128661422024621,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,5,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,6,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,7,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,8,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.02763508089499,0.3853021562099457,0.8315078308936431,0.02763508089499
adult,noniid,20,42,1,9,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,10,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,11,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,0.0644581044903238,0.0275508994617775,0.3853021562099457,0.8315078308936431,0.0275508994617775
adult,noniid,20,42,1,12,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,13,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,14,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,15,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,16,0.9906582045245164,0.0094536863563828,0.4552505232057121,0.2127206716630754,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,17,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0635916230626516,0.8651294715139373,0.0,,0.8957703997818458,0.0398702340163272,0.0398702340163272,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,18,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,1,19,0.9906582045245164,0.0,0.4552505232057121,0.0,0.8830574511817173,0.0,0.8651294715139373,0.0185995177579237,,0.8957703997818458,0.0,0.0,0.8315078308936431,0.833805476864967,0.375265618359541,0.5175849941383353,0.3853021562099457,-0.0,0.0,0.3853021562099457,0.8315078308936431,0.0
adult,noniid,20,42,2,0,0.9885044528610912,0.0,0.508392118705911,0.0,0.8882044780268091,0.0,0.8575551258605225,0.0,,0.9252553032461852,0.0,0.0,0.8416419285494933,0.8516579406631762,0.4147896302592435,0.5578736781937697,0.3544929325580597,-0.0,0.0,0.3544929325580597,0.8416419285494933,0.0
adult,noniid,20,42,2,1,0.9885044528610912,0.0,0.508392118705911,0.0,0.8882044780268091,0.0,0.8575551258605225,0.0,,0.9252553032461852,0.0,0.0,0.8416419285494933,0.8516579406631762,0.4147896302592435,0.5578736781937697,0.3544929325580597,-0.0,0.0,0.3544929325580597,0.8416419285494933,0.0
adult,noniid,20,42,2,2,0.9885044528610912,0.0,0.508392118705911,0.0,0.8882044780268091,0.0,0.8575551258605225,0.0,,0.9252553032461852,0.0,0.0,0.8416419285494933,0.8516579406631762,0.4147896302592435,0.5578736781937697,0.3544929325580597,-0.0,0.0,0.3544929325580597,0.8416419285494933,0.0
adult,noniid,20,42,2,3,0.9885044528610912,0.0,0.508392118705911,0.0,0.8882044780268091,0.0713346210124343,0.8575551258605225,0.0,,0.9252553032461852,0.0,0.0,0.8416419285494933,0.8516579406631762,0.4147896302592435,0.5578736781937697,0.3544929325580597,-0.0,0.0,0.3544929325580597,0.8416419285494933,0.0
