dataset,partition,num_clients,seed,round,client_id,global_gtg_acc,gtg_acc_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_loss,gtg_loss_contribution,global_gtg_priv,gtg_priv_contribution,global_gtg_rob,gtg_rob_contribution,acc_contribution
imdb,iid,4,42,1,0,0.8552,0.08952,0.5042095416276894,0.0,0.3332422971725464,0.0995996912320455,0.8332666666666666,-0.0047092592592592,0.7693840000000001,0.0425958666666666,0.08952
imdb,iid,4,42,1,1,0.8552,0.0,0.5042095416276894,0.1245093201608773,0.3332422971725464,0.0953470607598622,0.8332666666666666,-0.0124714814814814,0.7693840000000001,0.0414555333333333,0.0
imdb,iid,4,42,1,2,0.8552,0.0732066666666667,0.5042095416276894,0.127957300943213,0.3332422971725464,0.0792698085308074,0.8332666666666666,-0.0210585185185184,0.7693840000000001,0.0375675999999999,0.0732066666666667
imdb,iid,4,42,1,3,0.8552,0.0748066666666666,0.5042095416276894,0.0,0.3332422971725464,0.0840402980645497,0.8332666666666666,0.0,0.7693840000000001,0.0,0.0748066666666666
imdb,iid,4,42,2,0,0.8602,0.0,0.482445942803999,0.0,0.3191965222358703,0.004763447244962,0.7327777777777778,0.0,0.760712,0.0,0.0
imdb,iid,4,42,2,1,0.8602,0.00124,0.482445942803999,-0.0075274399761564,0.3191965222358703,0.003414096434911,0.7327777777777778,0.0,0.760712,-0.0017596,0.00124
imdb,iid,4,42,2,2,0.8602,-0.0006933333333333,0.482445942803999,0.002449726753768,0.3191965222358703,-0.0,0.7327777777777778,0.0,0.760712,-0.0004154666666666,-0.0006933333333333
imdb,iid,4,42,2,3,0.8602,0.0,0.482445942803999,0.0,0.3191965222358703,0.006134083867073,0.7327777777777778,0.0179407407407406,0.760712,0.0,0.0
imdb,iid,4,42,3,0,0.8652,0.0010133333333333,0.4660194174757281,0.0,0.3138627707958221,0.0022744059562683,0.7836222222222222,0.0,0.756502,-0.0016525333333333,0.0010133333333333
imdb,iid,4,42,3,1,0.8652,0.0021733333333333,0.4660194174757281,-0.0043154613494789,0.3138627707958221,0.0009453525145848,0.7836222222222222,0.0,0.756502,-0.0009308666666666,0.0021733333333333
imdb,iid,4,42,3,2,0.8652,-0.0002733333333333,0.4660194174757281,-2.186702041750051e-05,0.3138627707958221,-0.001396968960762,0.7836222222222222,0.0,0.756502,-0.0008450666666666,-0.0002733333333333
